Timestamp,Reader,Paper,Score
0,129,61,0.66
1,129,210,0.36
2,101,242,0.32
3,101,5,0.96
4,111,71,0.07
5,111,60,0.55
6,42,144,0.22
7,42,97,0.99
8,47,268,0.67
9,47,249,0.53
10,143,169,0.65
11,143,156,0.09
12,98,200,0.5
13,98,212,0.9
14,51,217,0.8
15,51,4,0.8
16,32,193,0.1
17,32,224,0.3
18,3,271,0.14
19,3,273,0.97
20,38,239,0.11
21,38,170,0.81
22,135,175,0.25
23,135,7,0.77
24,126,266,0.26
25,126,192,0.19
26,112,130,0.19
27,112,252,0.59
28,102,64,0.08
29,102,128,0.86
30,115,281,0.45
31,115,277,0.13
32,91,32,0.04
33,91,93,0.28
34,87,23,0.23
35,87,181,0.49
36,48,142,0.36
37,48,160,0.1
38,7,101,0.11
39,7,149,0.03
40,99,136,0.86
41,99,120,1.0
42,35,6,0.24
43,35,120,1.0
44,58,182,0.85
45,58,152,0.64
46,83,127,0.22
47,83,36,0.6
48,62,92,0.05
49,62,186,0.32
50,138,61,0.66
51,138,113,0.35
52,141,269,0.66
53,141,9,0.95
54,104,261,0.44
55,104,216,0.17
56,133,171,0.02
57,133,144,0.22
58,89,114,0.11
59,89,118,1.01
60,39,58,0.19
61,39,131,0.93
62,39,264,0.1
63,39,135,0.03
64,60,125,0.08
65,60,12,0.47
66,60,259,0.24
67,60,179,0.04
68,88,189,0.68
69,88,168,0.06
70,88,87,0.16
71,88,24,0.96
72,74,122,0.42
73,74,107,0.64
74,74,84,1.0
75,74,209,0.8
76,16,178,0.94
77,16,268,0.67
78,16,185,0.13
79,16,155,0.8
80,67,297,0.39
81,67,162,0.73
82,67,267,0.54
83,67,95,0.05
84,40,139,0.7
85,40,262,0.51
86,40,257,0.54
87,40,219,0.33
88,108,117,0.55
89,108,207,0.59
90,108,79,0.83
91,108,187,0.33
92,13,200,0.5
93,13,53,0.1
94,13,29,0.69
95,13,14,0.52
96,0,86,0.62
97,0,105,0.93
98,0,298,0.33
99,0,145,0.5
100,86,223,0.16
101,86,9,0.95
102,86,181,0.49
103,86,287,0.3
104,33,162,0.73
105,33,213,0.89
106,33,90,0.22
107,33,56,0.71
108,85,256,0.27
109,85,7,0.77
110,85,148,0.52
111,85,279,0.15
112,10,249,0.53
113,10,142,0.36
114,10,109,0.18
115,10,299,0.12
116,71,273,0.97
117,71,108,0.8
118,71,137,0.63
119,71,153,0.79
120,1,51,1.02
121,1,213,0.89
122,1,84,1.0
123,1,247,0.18
124,6,206,0.57
125,6,7,0.77
126,6,161,0.34
127,6,178,0.94
128,109,173,0.72
129,109,253,1.02
130,109,118,1.01
131,109,238,0.07
132,53,233,0.17
133,53,195,0.57
134,53,96,0.89
135,53,38,0.3
136,52,42,0.81
137,52,205,0.31
138,52,238,0.07
139,52,36,0.6
140,31,218,0.34
141,31,211,0.92
142,31,230,0.14
143,31,89,0.89
144,18,168,0.06
145,18,136,0.86
146,18,94,0.95
147,18,132,0.38
148,95,94,0.95
149,95,168,0.06
150,95,255,0.59
151,95,271,0.14
152,59,158,0.07
153,59,150,0.45
154,59,36,0.6
155,59,249,0.53
156,19,254,0.15
157,19,46,0.25
158,19,222,0.04
159,19,153,0.79
160,29,107,0.64
161,29,10,0.83
162,29,74,0.78
163,29,174,0.1
164,130,163,0.76
165,130,257,0.54
166,130,294,0.84
167,130,258,0.45
168,110,223,0.16
169,110,156,0.09
170,110,299,0.12
171,110,112,0.9
172,14,40,0.11
173,14,68,0.66
174,14,87,0.16
175,14,147,0.23
176,61,61,0.66
177,61,149,0.03
178,61,151,0.16
179,61,122,0.42
180,106,106,0.83
181,106,62,0.11
182,106,3,0.99
183,106,65,0.69
184,106,206,0.57
185,106,132,0.38
186,106,152,0.64
187,106,168,0.06
188,81,145,0.5
189,81,99,0.63
190,81,150,0.45
191,81,56,0.71
192,81,123,0.6
193,81,12,0.47
194,81,166,0.31
195,81,64,0.08
196,54,287,0.3
197,54,188,0.76
198,54,200,0.5
199,54,238,0.07
200,54,226,0.78
201,54,163,0.76
202,54,89,0.89
203,54,196,0.27
204,73,132,0.38
205,73,209,0.8
206,73,203,0.19
207,73,292,0.04
208,73,86,0.62
209,73,179,0.04
210,73,4,0.8
211,73,136,0.86
212,92,260,0.98
213,92,14,0.52
214,92,207,0.59
215,92,96,0.89
216,92,69,0.7
217,92,296,0.69
218,92,257,0.54
219,92,235,0.22
220,134,112,0.9
221,134,35,0.95
222,134,211,0.92
223,134,219,0.33
224,134,252,0.59
225,134,248,0.35
226,134,284,0.22
227,134,237,0.67
228,131,192,0.19
229,131,221,0.29
230,131,33,0.78
231,131,264,0.1
232,131,155,0.8
233,131,65,0.69
234,131,233,0.17
235,131,190,0.89
236,30,97,0.99
237,30,289,0.31
238,30,158,0.07
239,30,11,0.03
240,30,270,0.46
241,30,128,0.86
242,30,17,0.13
243,30,119,0.02
244,64,222,0.04
245,64,77,0.76
246,64,92,0.05
247,64,246,0.32
248,64,16,0.2
249,64,29,0.69
250,64,3,0.99
251,64,150,0.45
252,43,9,0.95
253,43,144,0.22
254,43,185,0.13
255,43,260,0.98
256,43,271,0.14
257,43,267,0.54
258,43,45,0.58
259,43,212,0.9
260,127,102,0.91
261,127,266,0.26
262,127,25,0.73
263,127,198,0.36
264,127,189,0.68
265,127,230,0.14
266,127,241,0.65
267,127,288,0.35
268,9,37,0.25
269,9,231,0.67
270,9,57,0.83
271,9,91,0.61
272,9,60,0.55
273,9,145,0.5
274,9,126,0.13
275,9,20,0.86
276,20,93,0.28
277,20,269,0.66
278,20,140,0.65
279,20,50,0.8
280,20,16,0.2
281,20,101,0.11
282,20,147,0.23
283,20,216,0.17
284,17,42,0.81
285,17,71,0.07
286,17,260,0.98
287,17,59,0.43
288,17,297,0.39
289,17,256,0.27
290,17,144,0.22
291,17,289,0.31
292,78,253,1.02
293,78,48,0.61
294,78,43,0.89
295,78,197,0.58
296,78,168,0.06
297,78,164,0.55
298,78,33,0.78
299,78,158,0.07
300,55,110,0.15
301,55,121,0.04
302,55,185,0.13
303,55,139,0.7
304,55,29,0.69
305,55,99,0.63
306,55,51,1.02
307,55,283,0.46
308,105,38,0.3
309,105,289,0.31
310,105,250,0.63
311,105,185,0.13
312,105,2,0.62
313,105,163,0.76
314,105,44,0.47
315,105,278,0.04
316,44,248,0.35
317,44,176,0.38
318,44,80,0.46
319,44,111,1.01
320,44,116,0.34
321,44,34,0.94
322,44,148,0.52
323,44,76,0.44
324,149,24,0.96
325,149,104,0.68
326,149,113,0.35
327,149,130,0.19
328,149,168,0.06
329,149,207,0.59
330,149,68,0.66
331,149,157,0.1
332,50,147,0.23
333,50,61,0.66
334,50,249,0.53
335,50,154,0.67
336,50,171,0.02
337,50,187,0.33
338,50,253,1.02
339,50,279,0.15
340,21,207,0.59
341,21,0,0.29
342,21,237,0.67
343,21,21,1.01
344,21,105,0.93
345,21,267,0.54
346,21,98,0.72
347,21,184,0.73
348,113,264,0.1
349,113,102,0.91
350,113,176,0.38
351,113,163,0.76
352,113,203,0.19
353,113,293,0.7
354,113,265,0.7
355,113,291,0.95
356,139,19,0.37
357,139,235,0.22
358,139,130,0.19
359,139,256,0.27
360,139,274,0.43
361,139,222,0.04
362,139,121,0.04
363,139,288,0.35
364,117,278,0.04
365,117,97,0.99
366,117,176,0.38
367,117,273,0.97
368,117,16,0.2
369,117,167,0.26
370,117,286,0.96
371,117,288,0.35
372,28,179,0.04
373,28,11,0.03
374,28,227,0.79
375,28,162,0.73
376,28,172,0.78
377,28,246,0.32
378,28,209,0.8
379,28,182,0.85
380,118,141,0.3
381,118,290,0.02
382,118,258,0.45
383,118,174,0.1
384,118,260,0.98
385,118,242,0.32
386,118,64,0.08
387,118,109,0.18
388,4,128,0.86
389,4,56,0.71
390,4,70,0.24
391,4,250,0.63
392,4,290,0.02
393,4,42,0.81
394,4,5,0.96
395,4,299,0.12
396,136,194,0.03
397,136,221,0.29
398,136,236,1.02
399,136,212,0.9
400,136,190,0.89
401,136,58,0.19
402,136,224,0.3
403,136,200,0.5
404,23,243,0.77
405,23,215,0.91
406,23,27,0.87
407,23,76,0.44
408,23,259,0.24
409,23,103,0.28
410,23,210,0.36
411,23,64,0.08
412,66,97,0.99
413,66,127,0.22
414,66,52,0.91
415,66,42,0.81
416,66,168,0.06
417,66,109,0.18
418,66,293,0.7
419,66,283,0.46
420,77,186,0.32
421,77,138,0.21
422,77,163,0.76
423,77,61,0.66
424,77,15,0.46
425,77,104,0.68
426,77,152,0.64
427,77,198,0.36
428,77,150,0.45
429,77,20,0.86
430,77,249,0.53
431,77,90,0.22
432,77,34,0.94
433,77,257,0.54
434,77,145,0.5
435,77,283,0.46
436,77,66,0.81
437,77,231,0.67
438,77,3,0.99
439,77,197,0.58
440,77,266,0.26
441,77,269,0.66
442,77,256,0.27
443,77,275,0.28
444,77,110,0.15
445,77,195,0.57
446,77,153,0.79
447,77,47,0.32
448,77,88,0.23
449,77,97,0.99
450,107,230,0.14
451,107,106,0.83
452,107,127,0.22
453,107,48,0.61
454,107,240,0.65
455,107,46,0.25
456,107,157,0.1
457,107,80,0.46
458,107,292,0.04
459,107,24,0.96
460,107,9,0.95
461,107,158,0.07
462,107,165,0.07
463,107,83,0.33
464,107,31,0.45
465,107,246,0.32
466,107,54,0.19
467,107,126,0.13
468,107,264,0.1
469,107,130,0.19
470,107,63,0.34
471,107,269,0.66
472,107,148,0.52
473,107,155,0.8
474,107,298,0.33
475,107,39,0.21
476,107,209,0.8
477,107,110,0.15
478,107,79,0.83
479,107,16,0.2
480,124,1,0.29
481,124,241,0.65
482,124,47,0.32
483,124,296,0.69
484,124,264,0.1
485,124,218,0.34
486,124,235,0.22
487,124,113,0.35
488,124,173,0.72
489,124,74,0.78
490,124,248,0.35
491,124,100,0.95
492,124,226,0.78
493,124,144,0.22
494,124,40,0.11
495,124,87,0.16
496,124,126,0.13
497,124,133,0.36
498,124,27,0.87
499,124,42,0.81
500,124,234,0.96
501,124,214,0.05
502,124,8,0.53
503,124,240,0.65
504,124,2,0.62
505,124,24,0.96
506,124,164,0.55
507,124,135,0.03
508,124,191,0.11
509,124,169,0.65
510,137,30,0.2
511,137,3,0.99
512,137,27,0.87
513,137,182,0.85
514,137,279,0.15
515,137,227,0.79
516,137,50,0.8
517,137,219,0.33
518,137,165,0.07
519,137,42,0.81
520,137,191,0.11
521,137,248,0.35
522,137,142,0.36
523,137,236,1.02
524,137,127,0.22
525,137,155,0.8
526,137,17,0.13
527,137,233,0.17
528,137,208,0.59
529,137,297,0.39
530,137,145,0.5
531,137,273,0.97
532,137,256,0.27
533,137,266,0.26
534,137,117,0.55
535,137,140,0.65
536,137,217,0.8
537,137,46,0.25
538,137,137,0.63
539,137,35,0.95
540,2,38,0.3
541,2,269,0.66
542,2,123,0.6
543,2,295,0.62
544,2,267,0.54
545,2,258,0.45
546,2,120,1.0
547,2,169,0.65
548,2,208,0.59
549,2,13,0.48
550,2,33,0.78
551,2,39,0.21
552,2,166,0.31
553,2,121,0.04
554,2,115,0.69
555,2,278,0.04
556,2,8,0.53
557,2,51,1.02
558,2,248,0.35
559,2,270,0.46
560,2,273,0.97
561,2,126,0.13
562,2,189,0.68
563,2,168,0.06
564,2,66,0.81
565,2,253,1.02
566,2,299,0.12
567,2,137,0.63
568,2,12,0.47
569,2,260,0.98
570,100,280,0.4
571,100,132,0.38
572,100,153,0.79
573,100,164,0.55
574,100,14,0.52
575,100,253,1.02
576,100,21,1.01
577,100,98,0.72
578,100,238,0.07
579,100,298,0.33
580,100,202,0.52
581,100,50,0.8
582,100,243,0.77
583,100,268,0.67
584,100,49,0.94
585,100,53,0.1
586,100,63,0.34
587,100,100,0.95
588,100,169,0.65
589,100,188,0.76
590,100,58,0.19
591,100,57,0.83
592,100,257,0.54
593,100,244,0.31
594,100,81,0.68
595,100,147,0.23
596,100,56,0.71
597,100,15,0.46
598,100,125,0.08
599,100,87,0.16
600,142,101,0.11
601,142,50,0.8
602,142,227,0.79
603,142,123,0.6
604,142,85,0.47
605,142,153,0.79
606,142,19,0.37
607,142,295,0.62
608,142,118,1.01
609,142,269,0.66
610,142,102,0.91
611,142,246,0.32
612,142,38,0.3
613,142,88,0.23
614,142,60,0.55
615,142,11,0.03
616,142,41,0.9
617,142,162,0.73
618,142,86,0.62
619,142,155,0.8
620,142,144,0.22
621,142,206,0.57
622,142,244,0.31
623,142,158,0.07
624,142,127,0.22
625,142,178,0.94
626,142,141,0.3
627,142,152,0.64
628,142,239,0.11
629,142,9,0.95
630,65,114,0.11
631,65,195,0.57
632,65,135,0.03
633,65,1,0.29
634,65,229,0.42
635,65,166,0.31
636,65,256,0.27
637,65,53,0.1
638,65,11,0.03
639,65,265,0.7
640,65,174,0.1
641,65,5,0.96
642,65,45,0.58
643,65,8,0.53
644,65,212,0.9
645,65,18,0.48
646,65,232,0.24
647,65,224,0.3
648,65,20,0.86
649,65,96,0.89
650,65,267,0.54
651,65,235,0.22
652,65,254,0.15
653,65,78,0.49
654,65,211,0.92
655,65,71,0.07
656,65,93,0.28
657,65,175,0.25
658,65,165,0.07
659,65,32,0.04
660,114,166,0.31
661,114,162,0.73
662,114,276,0.18
663,114,246,0.32
664,114,272,0.3
665,114,103,0.28
666,114,282,0.98
667,114,81,0.68
668,114,169,0.65
669,114,0,0.29
670,114,193,0.1
671,114,7,0.77
672,114,63,0.34
673,114,198,0.36
674,114,220,0.41
675,114,251,0.81
676,114,167,0.26
677,114,18,0.48
678,114,223,0.16
679,114,288,0.35
680,114,149,0.03
681,114,281,0.45
682,114,97,0.99
683,114,280,0.4
684,114,28,0.89
685,114,23,0.23
686,114,55,0.52
687,114,267,0.54
688,114,210,0.36
689,114,75,0.1
690,148,42,0.81
691,148,141,0.3
692,148,72,0.29
693,148,217,0.8
694,148,50,0.8
695,148,5,0.96
696,148,97,0.99
697,148,283,0.46
698,148,208,0.59
699,148,166,0.31
700,148,27,0.87
701,148,176,0.38
702,148,112,0.9
703,148,64,0.08
704,148,168,0.06
705,148,207,0.59
706,148,196,0.27
707,148,131,0.93
708,148,161,0.34
709,148,6,0.24
710,148,177,0.52
711,148,68,0.66
712,148,119,0.02
713,148,252,0.59
714,148,231,0.67
715,148,163,0.76
716,148,164,0.55
717,148,224,0.3
718,148,59,0.43
719,148,78,0.49
720,144,99,0.63
721,144,41,0.9
722,144,49,0.94
723,144,35,0.95
724,144,137,0.63
725,144,36,0.6
726,144,151,0.16
727,144,213,0.89
728,144,28,0.89
729,144,264,0.1
730,144,150,0.45
731,144,6,0.24
732,144,276,0.18
733,144,167,0.26
734,144,200,0.5
735,144,224,0.3
736,144,156,0.09
737,144,51,1.02
738,144,131,0.93
739,144,9,0.95
740,144,245,0.27
741,144,94,0.95
742,144,14,0.52
743,144,39,0.21
744,144,66,0.81
745,144,279,0.15
746,144,208,0.59
747,144,21,1.01
748,144,57,0.83
749,144,80,0.46
750,27,114,0.11
751,27,91,0.61
752,27,288,0.35
753,27,71,0.07
754,27,295,0.62
755,27,200,0.5
756,27,121,0.04
757,27,51,1.02
758,27,187,0.33
759,27,43,0.89
760,27,144,0.22
761,27,191,0.11
762,27,240,0.65
763,27,102,0.91
764,27,261,0.44
765,27,32,0.04
766,27,106,0.83
767,27,11,0.03
768,27,23,0.23
769,27,143,0.13
770,27,151,0.16
771,27,75,0.1
772,27,7,0.77
773,27,281,0.45
774,27,87,0.16
775,27,170,0.81
776,27,289,0.31
777,27,171,0.02
778,27,245,0.27
779,27,128,0.86
780,69,65,0.69
781,69,97,0.99
782,69,7,0.77
783,69,127,0.22
784,69,114,0.11
785,69,90,0.22
786,69,64,0.08
787,69,258,0.45
788,69,95,0.05
789,69,199,0.48
790,69,236,1.02
791,69,35,0.95
792,69,196,0.27
793,69,170,0.81
794,69,168,0.06
795,69,202,0.52
796,69,17,0.13
797,69,105,0.93
798,69,109,0.18
799,69,240,0.65
800,69,212,0.9
801,69,104,0.68
802,69,165,0.07
803,69,157,0.1
804,69,277,0.13
805,69,107,0.64
806,69,57,0.83
807,69,117,0.55
808,69,154,0.67
809,69,218,0.34
810,103,66,0.81
811,103,114,0.11
812,103,209,0.8
813,103,245,0.27
814,103,262,0.51
815,103,106,0.83
816,103,166,0.31
817,103,134,0.17
818,103,115,0.69
819,103,284,0.22
820,103,180,0.01
821,103,249,0.53
822,103,156,0.09
823,103,161,0.34
824,103,7,0.77
825,103,129,0.26
826,103,125,0.08
827,103,121,0.04
828,103,265,0.7
829,103,160,0.1
830,103,188,0.76
831,103,216,0.17
832,103,5,0.96
833,103,163,0.76
834,103,65,0.69
835,103,256,0.27
836,103,145,0.5
837,103,299,0.12
838,103,98,0.72
839,103,89,0.89
840,97,12,0.47
841,97,53,0.1
842,97,104,0.68
843,97,164,0.55
844,97,257,0.54
845,97,47,0.32
846,97,207,0.59
847,97,106,0.83
848,97,265,0.7
849,97,202,0.52
850,97,137,0.63
851,97,269,0.66
852,97,103,0.28
853,97,192,0.19
