Timestamp,Reader,Paper,Score
0,148,150,0.5
1,148,186,0.38
2,67,280,0.33
3,67,35,0.77
4,0,226,0.93
5,0,258,0.13
6,84,249,0.47
7,84,295,0.42
8,29,34,0.58
9,29,223,0.8
10,90,186,0.38
11,90,231,0.48
12,93,134,0.54
13,93,239,0.25
14,38,15,1.02
15,38,39,0.27
16,143,163,0.66
17,143,121,0.42
18,76,221,0.51
19,76,264,0.04
20,98,150,0.5
21,98,13,0.14
22,31,50,0.39
23,31,226,0.93
24,23,213,0.45
25,23,0,0.26
26,89,34,0.58
27,89,84,0.06
28,112,30,0.4
29,112,240,0.57
30,129,215,0.16
31,129,129,0.89
32,126,27,0.25
33,126,219,0.11
34,66,157,0.17
35,66,272,0.71
36,113,296,0.87
37,113,280,0.33
38,132,256,0.03
39,132,109,0.82
40,107,248,0.13
41,107,56,1.0
42,106,7,0.28
43,106,61,0.26
44,87,25,0.77
45,87,15,1.02
46,20,11,0.61
47,20,266,0.89
48,10,219,0.11
49,10,20,0.24
50,71,61,0.26
51,71,40,0.88
52,140,70,0.13
53,140,181,0.85
54,63,31,0.53
55,63,127,0.44
56,101,38,0.23
57,101,113,0.04
58,69,85,0.64
59,69,210,0.3
60,58,77,0.78
61,58,36,0.06
62,58,239,0.25
63,58,63,0.99
64,80,162,0.25
65,80,67,0.02
66,80,123,0.58
67,80,149,0.53
68,109,266,0.89
69,109,101,0.55
70,109,243,0.26
71,109,147,0.13
72,136,287,0.22
73,136,273,0.92
74,136,35,0.77
75,136,176,0.03
76,130,106,0.25
77,130,128,0.99
78,130,223,0.8
79,130,31,0.53
80,3,1,0.27
81,3,87,0.3
82,3,236,0.19
83,3,164,0.83
84,96,185,0.68
85,96,240,0.57
86,96,14,0.73
87,96,168,0.24
88,61,84,0.06
89,61,290,0.23
90,61,254,0.88
91,61,46,0.78
92,62,291,0.84
93,62,283,0.51
94,62,48,0.29
95,62,150,0.5
96,70,28,0.82
97,70,196,0.66
98,70,286,0.95
99,70,253,0.32
100,36,87,0.3
101,36,78,0.87
102,36,144,0.71
103,36,239,0.25
104,7,107,0.33
105,7,41,0.7
106,7,143,0.81
107,7,239,0.25
108,145,99,0.33
109,145,176,0.03
110,145,104,0.75
111,145,182,0.05
112,91,129,0.89
113,91,130,0.26
114,91,20,0.24
115,91,209,0.31
116,25,185,0.68
117,25,107,0.33
118,25,222,0.96
119,25,151,1.0
120,35,27,0.25
121,35,69,0.36
122,35,136,0.44
123,35,297,0.73
124,24,146,0.1
125,24,260,0.25
126,24,178,0.19
127,24,153,0.71
128,74,28,0.82
129,74,252,0.19
130,74,298,0.12
131,74,171,0.62
132,43,197,0.74
133,43,110,0.69
134,43,29,0.35
135,43,97,0.48
136,117,102,0.8
137,117,8,0.18
138,117,77,0.78
139,117,241,0.34
140,79,27,0.25
141,79,254,0.88
142,79,251,0.34
143,79,214,0.8
144,15,193,0.68
145,15,235,0.5
146,15,109,0.82
147,15,51,0.23
148,5,187,0.77
149,5,74,0.43
150,5,241,0.34
151,5,115,0.87
152,131,180,0.97
153,131,134,0.54
154,131,120,0.01
155,131,209,0.31
156,8,43,0.92
157,8,161,0.8
158,8,125,0.72
159,8,234,0.61
160,14,285,0.38
161,14,181,0.85
162,14,45,0.85
163,14,213,0.45
164,59,264,0.04
165,59,222,0.96
166,59,25,0.77
167,59,189,0.8
168,37,133,0.56
169,37,185,0.68
170,37,293,0.04
171,37,167,0.8
172,86,114,0.94
173,86,201,0.98
174,86,29,0.35
175,86,81,0.5
176,88,268,0.15
177,88,86,0.81
178,88,262,0.71
179,88,37,0.13
180,119,182,0.05
181,119,234,0.61
182,119,28,0.82
183,119,42,0.61
184,119,109,0.82
185,119,58,0.63
186,119,111,0.2
187,119,287,0.22
188,11,102,0.8
189,11,98,0.86
190,11,206,0.02
191,11,260,0.25
192,11,266,0.89
193,11,108,0.97
194,11,50,0.39
195,11,32,0.2
196,65,281,0.41
197,65,164,0.83
198,65,17,0.17
199,65,135,0.26
200,65,193,0.68
201,65,85,0.64
202,65,63,0.99
203,65,249,0.47
204,52,270,0.19
205,52,283,0.51
206,52,86,0.81
207,52,50,0.39
208,52,195,0.52
209,52,237,0.9
210,52,238,0.47
211,52,46,0.78
212,45,99,0.33
213,45,231,0.48
214,45,119,0.95
215,45,260,0.25
216,45,207,0.04
217,45,74,0.43
218,45,281,0.41
219,45,40,0.88
220,95,163,0.66
221,95,133,0.56
222,95,246,0.8
223,95,150,0.5
224,95,297,0.73
225,95,225,0.26
226,95,78,0.87
227,95,154,0.54
228,2,117,0.82
229,2,16,0.89
230,2,244,0.93
231,2,40,0.88
232,2,75,0.9
233,2,44,0.56
234,2,55,0.11
235,2,77,0.78
236,85,250,0.17
237,85,209,0.31
238,85,44,0.56
239,85,119,0.95
240,85,25,0.77
241,85,2,0.55
242,85,14,0.73
243,85,295,0.42
244,46,128,0.99
245,46,9,0.82
246,46,203,0.43
247,46,24,0.6
248,46,223,0.8
249,46,285,0.38
250,46,58,0.63
251,46,243,0.26
252,116,266,0.89
253,116,43,0.92
254,116,143,0.81
255,116,252,0.19
256,116,56,1.0
257,116,98,0.86
258,116,218,0.42
259,116,147,0.13
260,6,110,0.69
261,6,159,0.78
262,6,62,0.79
263,6,102,0.8
264,6,3,0.28
265,6,11,0.61
266,6,100,0.62
267,6,200,0.2
268,144,199,0.94
269,144,41,0.7
270,144,156,0.69
271,144,124,0.9
272,144,51,0.23
273,144,20,0.24
274,144,134,0.54
275,144,37,0.13
276,124,85,0.64
277,124,168,0.24
278,124,216,0.73
279,124,155,0.51
280,124,152,0.75
281,124,131,0.11
282,124,220,0.94
283,124,22,0.7
284,83,0,0.26
285,83,214,0.8
286,83,267,0.36
287,83,295,0.42
288,83,149,0.53
289,83,233,0.8
290,83,27,0.25
291,83,59,0.93
292,56,121,0.42
293,56,213,0.45
294,56,84,0.06
295,56,200,0.2
296,56,273,0.92
297,56,220,0.94
298,56,60,0.26
299,56,270,0.19
300,123,21,1.03
301,123,184,0.34
302,123,15,1.02
303,123,107,0.33
304,123,42,0.61
305,123,92,0.18
306,123,252,0.19
307,123,88,0.19
308,139,72,0.87
309,139,2,0.55
310,139,177,0.92
311,139,134,0.54
312,139,218,0.42
313,139,276,0.98
314,139,68,0.25
315,139,222,0.96
316,48,154,0.54
317,48,185,0.68
318,48,222,0.96
319,48,141,0.27
320,48,255,0.8
321,48,105,0.3
322,48,284,0.95
323,48,205,0.37
324,19,174,0.56
325,19,9,0.82
326,19,229,1.02
327,19,98,0.86
328,19,82,0.32
329,19,176,0.03
330,19,19,0.82
331,19,165,0.85
332,103,16,0.89
333,103,253,0.32
334,103,40,0.88
335,103,56,1.0
336,103,271,0.99
337,103,274,0.4
338,103,214,0.8
339,103,277,0.94
340,111,238,0.47
341,111,79,0.72
342,111,109,0.82
343,111,121,0.42
344,111,289,0.84
345,111,290,0.23
346,111,205,0.37
347,111,250,0.17
348,120,142,0.32
349,120,121,0.42
350,120,102,0.8
351,120,289,0.84
352,120,274,0.4
353,120,207,0.04
354,120,298,0.12
