Timestamp,Reader,Paper,Score
0,2433,9750,0.04
1,1350,7617,0.13
2,1917,8296,0.4
3,1215,214,0.21
4,1469,13689,0.13
5,513,11657,0.23
6,2477,14775,0.42
7,1736,4798,0.17
8,1270,12315,0.42
9,1537,14391,0.06
10,2082,6716,0.23
11,823,3508,0.14
12,1932,7477,1.0
13,2457,13671,0.61
14,2438,8738,0.14
15,1282,1657,0.07
16,1853,11939,0.54
17,1699,4168,0.22
18,678,14123,0.78
19,321,11106,0.16
20,1585,13025,0.67
21,1967,14249,0.55
22,23,3635,0.48
23,1255,11666,0.65
24,470,7921,0.75
25,1835,5801,0.01
26,2074,8403,0.37
27,281,14620,0.9
28,943,11247,0.53
29,914,1101,0.53
30,1713,7205,1.0
31,780,11756,0.02
32,2311,10252,0.55
33,225,7536,1.0
34,1148,13061,0.6
35,1825,5164,0.72
36,2262,4579,0.38
37,2454,6666,0.14
38,566,9759,0.11
39,2287,7552,0.69
40,2134,5782,0.45
41,926,11230,0.46
42,1760,5988,0.62
43,561,6021,0.48
44,662,2879,0.4
45,1927,11560,0.3
46,1715,7272,0.23
47,450,9628,0.04
48,728,14,0.53
49,2043,2679,0.15
50,1589,2957,0.38
51,1210,8705,0.35
52,1194,3705,0.06
53,1210,7358,0.13
54,1359,681,0.43
55,1419,14152,0.03
56,1982,10771,0.6
57,2091,160,0.6
58,1119,8745,0.13
59,1125,4594,0.28
60,477,5976,0.5
61,2090,4878,0.69
62,723,10517,1.0
63,1125,13983,0.55
64,391,827,0.01
65,1103,13445,0.55
66,2084,11411,0.41
67,2292,863,0.44
68,1258,10749,0.01
69,515,14153,0.06
70,404,6081,0.55
71,527,13742,0.68
72,2260,13886,0.28
73,136,3681,0.49
74,386,8026,0.07
75,2209,11699,0.04
76,1629,11135,0.01
77,1676,6231,0.05
78,2438,7407,0.39
79,1357,2869,0.58
80,933,10175,1.0
81,1909,7895,0.48
82,662,1812,0.91
83,524,8268,0.44
84,1681,13676,0.42
85,1639,6527,0.13
86,1595,6521,0.14
87,34,12121,0.76
88,551,5116,0.46
89,1377,11116,0.04
90,2246,2220,0.48
91,205,14994,0.49
92,1595,11867,0.67
93,477,13765,0.4
94,1751,10132,0.51
95,403,5888,0.11
96,1067,7873,0.09
97,405,2446,0.55
98,1684,1904,0.1
99,426,725,0.58
100,911,4059,0.08
101,890,14521,0.24
102,1589,6411,0.27
103,742,6033,0.54
104,879,14113,0.74
105,1653,10667,0.08
106,968,14973,0.23
107,2037,9473,0.29
108,702,12206,0.64
109,1512,2408,0.14
110,1515,13293,0.47
111,1302,4377,0.08
112,1429,9908,1.0
113,19,13112,0.11
114,283,5493,0.64
115,1132,10090,1.0
116,2308,6443,0.05
117,1410,1388,0.51
118,441,2466,0.29
119,1643,6471,0.57
120,1344,7190,0.37
121,968,13859,0.44
122,2427,2319,0.06
123,52,7612,0.54
124,68,9501,0.62
125,2288,12721,0.94
126,2242,3731,0.01
127,249,7889,0.44
128,909,4219,0.69
129,1223,6358,0.11
130,1905,5016,1.0
131,531,13900,0.01
132,494,1817,0.08
133,1570,1068,0.45
134,2040,14181,0.11
135,419,6358,0.11
136,835,883,0.42
137,2083,11016,0.17
138,935,3111,0.01
139,346,13816,0.17
140,848,8050,0.04
141,2094,4303,0.32
142,2438,6035,0.04
143,19,9823,0.32
144,128,7381,0.09
145,2142,10632,0.12
146,783,12487,0.02
147,2438,11688,0.09
148,491,8435,0.69
149,1807,6488,0.75
150,2364,565,0.58
151,767,1044,1.0
152,1867,10925,0.54
153,368,2216,0.08
154,864,11778,0.12
155,1629,1095,0.07
156,1919,4028,0.58
157,728,13119,0.31
158,884,2510,0.37
159,1124,546,0.23
160,524,10664,0.22
161,1410,2241,0.06
162,1353,10550,0.47
163,947,10586,0.04
164,128,13395,1.0
165,1155,12966,0.02
166,1017,10798,0.59
167,96,4786,0.04
168,1988,14154,0.03
169,1274,8612,0.06
170,2116,3483,0.43
171,2024,848,0.03
172,629,1581,0.07
173,1317,5991,0.44
174,1599,7258,0.1
175,2209,6071,1.0
176,1594,9124,0.08
177,630,10636,0.06
178,1763,14027,0.61
179,1157,12779,0.08
180,618,6212,0.62
181,36,1810,0.49
182,599,12665,0.29
183,1102,4474,0.31
184,2301,12949,0.29
185,1934,13884,0.1
186,1485,12517,0.07
187,428,4908,0.92
188,411,10904,0.46
189,887,6780,0.33
190,137,13609,0.32
191,2149,12345,0.32
192,425,11318,0.04
193,1439,1076,0.48
194,1501,4278,0.09
195,1480,11931,0.55
196,1344,9950,0.14
197,1529,2760,1.0
198,1643,9394,0.1
199,1681,2591,0.12
200,2156,6078,0.49
201,874,734,0.42
202,30,9014,0.55
203,1935,12670,0.02
204,1931,6877,0.34
205,1384,7542,0.02
206,1713,3879,0.47
207,1637,2763,0.44
208,428,6779,0.34
209,1422,3161,0.08
210,2228,6123,0.13
211,1783,2209,0.03
212,1160,4026,0.32
213,571,13833,0.44
214,1548,2304,0.47
215,1673,228,0.44
216,1529,12178,0.5
217,853,14298,0.01
218,316,2469,0.32
219,1274,8480,0.62
220,1996,10987,0.54
221,1188,10061,0.54
222,294,5019,0.27
223,50,2682,0.07
224,884,3969,0.94
225,2467,11438,0.13
226,2217,9325,0.49
227,2026,14067,0.01
228,971,13679,0.14
229,38,12322,0.52
230,358,14446,0.09
231,2249,14281,0.03
232,545,11139,0.45
233,1623,10718,0.61
234,862,393,0.73
235,908,12140,0.53
236,618,5500,0.2
237,1538,3438,0.98
238,1300,13088,0.5
239,1648,8238,0.31
240,762,326,1.0
241,1643,3795,0.98
242,1434,5564,0.93
243,1678,11534,0.13
244,1423,14102,0.66
245,241,3035,0.04
246,125,12702,1.0
247,1470,13419,0.17
248,612,7701,0.98
249,1307,7994,0.05
250,2069,4013,0.18
251,1384,11594,0.23
252,1336,4843,0.02
253,1299,13133,0.18
254,2441,12396,0.49
255,1794,14904,0.05
256,1253,1594,0.15
257,419,5704,0.03
258,667,3770,0.43
259,2441,941,0.13
260,141,11837,1.0
261,309,403,0.25
262,459,11321,0.38
263,1577,3037,0.53
264,849,13252,0.61
265,1026,2846,0.21
266,1126,481,0.32
267,2156,4148,0.06
268,867,12920,0.99
269,1624,7755,0.61
270,1671,7842,0.02
271,1678,5963,0.55
272,2023,6310,0.14
273,802,1484,0.2
274,1281,2117,0.45
275,1184,390,0.22
276,1707,11588,0.37
277,1397,11437,1.0
278,2206,1422,0.21
279,150,13678,0.5
280,1725,3842,0.12
281,1571,11502,0.98
282,487,13882,0.68
283,1735,5702,0.63
284,2084,1307,0.35
285,1056,10110,0.22
286,2288,13557,0.09
287,819,5999,0.19
288,1760,14074,0.22
289,1655,13361,0.84
290,917,11749,0.1
291,54,3468,0.44
292,501,11973,0.52
293,1658,10990,0.7
294,1298,5436,0.18
295,2427,13857,0.06
296,1125,13969,0.31
297,646,12465,0.28
298,474,14243,0.08
299,1638,12358,0.74
300,1442,3200,0.27
301,1950,38,0.78
302,1185,6894,0.49
303,1095,134,0.07
304,1678,14670,0.99
305,1343,10930,0.2
306,229,5316,0.05
307,2091,14208,0.09
308,1983,10133,0.01
309,26,977,0.13
310,773,952,0.53
311,2024,8479,0.78
312,1801,8321,0.63
313,147,9076,0.01
314,501,10972,0.39
315,1409,4785,0.52
316,1268,6143,0.01
317,687,7124,0.54
318,2315,10833,0.32
319,2153,11918,0.16
320,515,14609,0.14
321,1391,8631,0.15
322,1740,10714,0.19
323,223,10347,0.72
324,1359,10108,0.29
325,873,8074,0.46
326,1089,14691,0.96
327,48,9781,0.51
328,1713,2529,0.04
329,1166,14636,0.69
330,1537,3899,0.34
331,2209,9835,0.11
332,2084,6207,0.21
333,2431,13940,0.06
334,2458,1757,0.44
335,413,1634,0.15
336,1341,8851,0.22
337,2309,8199,0.41
338,269,12483,0.16
339,1427,12444,0.29
340,538,3823,0.47
341,1861,13663,1.0
342,1743,6660,0.13
343,1770,5406,0.13
344,890,1459,0.17
345,409,10963,0.15
346,1499,5911,0.3
347,1299,1485,0.36
348,793,4865,0.3
349,1308,804,0.09
350,311,11712,0.03
351,756,5395,0.14
352,949,2059,0.33
353,1400,7900,0.12
354,2299,3877,0.54
355,1257,5769,0.35
356,2495,4432,0.05
357,2454,6916,0.21
358,1132,6750,0.5
359,1,13470,0.06
360,123,12454,0.54
361,1880,1217,0.05
362,1113,6489,0.49
363,799,5117,0.02
364,499,8842,0.4
365,1540,1991,0.99
366,1217,2481,0.28
367,867,3014,0.71
368,1978,12122,0.02
369,2026,10035,0.73
370,1974,4124,0.48
371,1743,7531,0.57
372,2433,10162,0.09
373,2209,14659,0.01
374,501,12485,0.42
375,1943,1447,0.61
376,143,1628,0.67
377,54,3087,0.54
378,2203,11780,0.24
379,2480,10605,0.03
380,2354,9376,0.06
381,1985,469,0.13
382,1484,2072,0.11
383,876,7419,0.52
384,1578,383,0.09
385,1132,10126,0.05
386,2108,3997,0.32
387,1840,2589,0.11
388,899,7583,0.61
389,1585,13342,0.06
390,2090,13468,0.99
391,139,21,0.13
392,2242,4969,0.06
393,2263,11718,0.19
394,1062,14904,0.24
395,2137,5959,0.6
396,2307,6461,0.21
397,689,3130,1.0
398,2084,643,0.47
399,1700,2853,0.86
400,655,9323,0.54
401,951,4594,0.29
402,2189,10882,0.28
403,1719,9385,0.5
404,368,1502,0.58
405,1232,12018,0.04
406,474,9548,0.53
407,1173,5150,0.05
408,1662,2934,0.01
409,1558,10451,0.25
410,34,3964,0.12
