Timestamp,Reader,Paper,Score
0,1936,396,0.9
1,1936,4340,0.21
2,2431,1434,0.68
3,2431,4351,0.34
4,1360,350,0.8
5,1360,3106,0.14
6,134,3229,0.09
7,134,2200,0.61
8,412,1161,0.06
9,412,2527,0.57
10,567,1129,0.8
11,567,3388,0.51
12,162,1916,0.99
13,162,2157,0.52
14,1706,1350,0.25
15,1706,2623,0.81
16,1067,2499,0.83
17,1067,4206,0.27
18,36,2466,0.77
19,36,1737,0.17
20,2052,1864,0.66
21,2052,1616,0.58
22,446,1013,0.05
23,446,3750,0.26
24,553,2283,0.58
25,553,1537,0.95
26,2300,4484,0.62
27,2300,1679,0.24
28,2130,2611,0.42
29,2130,442,0.13
30,215,2074,0.43
31,215,2330,0.89
32,427,2632,0.09
33,427,543,0.75
34,1455,3456,0.31
35,1455,4296,0.95
36,1807,4835,0.28
37,1807,4301,0.79
38,1712,4296,0.95
39,1712,3924,0.71
40,1877,4422,0.07
41,1877,2513,0.49
42,941,3944,0.74
43,941,1911,0.99
44,1333,3389,0.11
45,1333,722,0.72
46,542,3470,0.64
47,542,2947,0.06
48,1219,2909,0.17
49,1219,4985,0.29
50,2350,3022,0.18
51,2350,3800,0.51
52,1620,2643,0.53
53,1620,4448,0.86
54,740,4743,0.28
55,740,3534,0.67
56,1382,888,0.25
57,1382,38,0.74
58,762,1782,0.96
59,762,2125,0.87
60,1881,1454,0.81
61,1881,71,0.76
62,1015,162,0.86
63,1015,4684,0.81
64,1655,3484,0.58
65,1655,244,0.61
66,1419,4227,0.92
67,1419,2581,0.06
68,376,3873,0.29
69,376,2351,0.11
70,298,1618,0.16
71,298,2406,0.4
72,1922,744,1.0
73,1922,3318,0.57
74,934,1279,0.27
75,934,239,0.25
76,832,3950,0.34
77,832,4851,0.15
78,689,1034,0.87
79,689,690,0.69
80,635,444,0.1
81,635,2858,0.79
82,2391,1897,0.05
83,2391,4720,0.3
84,587,1692,0.9
85,587,1708,0.95
86,770,2004,0.84
87,770,883,0.58
88,461,4829,0.86
89,461,820,0.72
90,729,1131,0.59
91,729,3397,0.85
92,2314,901,0.25
93,2314,4813,0.55
94,1829,3047,0.02
95,1829,3297,0.67
96,1414,1118,0.94
97,1414,3298,0.27
98,1,2647,0.93
99,1,2519,0.18
100,1781,2907,0.06
101,1781,107,0.97
102,180,308,0.93
103,180,1991,0.62
104,1066,4142,0.77
105,1066,2576,0.18
106,1000,1533,0.05
107,1000,1961,0.53
108,699,495,0.67
109,699,4710,0.34
110,508,2915,0.98
111,508,2748,0.3
112,1500,4231,0.63
113,1500,4436,0.8
114,2348,1730,0.7
115,2348,3800,0.51
116,32,4391,0.24
117,32,2081,0.02
118,160,1246,0.44
119,160,2599,0.85
120,330,662,0.28
121,330,4450,0.2
122,39,431,0.93
123,39,1819,0.86
124,2115,3185,0.48
125,2115,3947,0.29
126,421,4623,0.54
127,421,3565,0.41
128,1420,1358,0.84
129,1420,1704,0.22
130,309,2468,0.51
131,309,1591,0.64
132,743,840,0.35
133,743,4750,0.56
134,975,532,0.49
135,975,453,0.44
136,510,1429,0.83
137,510,3652,0.58
138,2150,4184,0.24
139,2150,729,0.81
140,236,3305,0.02
141,236,104,0.25
142,1026,2725,0.14
143,1026,4221,0.05
144,929,2098,0.07
145,929,4513,0.59
146,1649,3090,1.01
147,1649,4522,0.29
148,2492,2366,0.59
149,2492,1199,0.7
150,1289,4646,0.82
151,1289,1832,0.65
152,958,1409,0.94
153,958,4768,0.86
154,1272,2093,0.06
155,1272,401,0.18
156,1718,4903,0.95
157,1718,3611,0.31
158,374,870,0.74
159,374,4910,0.58
160,1214,716,0.32
161,1214,1863,0.3
162,1759,39,0.5
163,1759,810,0.62
164,450,3176,0.05
165,450,669,0.66
166,1030,3373,0.63
167,1030,2472,0.11
168,2230,875,0.17
169,2230,525,0.96
170,2478,1639,0.16
171,2478,2614,0.76
172,656,3224,0.99
173,656,1699,0.7
174,1101,1414,0.34
175,1101,167,0.07
176,1033,74,0.89
177,1033,3293,0.07
178,1773,4862,0.67
179,1773,1534,0.21
180,621,681,0.05
181,621,3016,0.22
182,77,4809,0.26
183,77,1137,0.1
184,2034,2301,0.15
185,2034,4651,0.62
