Timestamp,Reader,Paper,Score
0,154,139,0.48
1,154,274,0.52
2,28,180,0.02
3,28,392,0.38
4,114,458,0.92
5,114,490,0.61
6,233,132,0.04
7,233,227,0.72
8,143,49,0.62
9,143,359,0.29
10,52,361,0.93
11,52,232,0.05
12,76,19,0.7
13,76,332,0.36
14,203,353,0.23
15,203,458,0.87
16,7,275,0.03
17,7,186,0.59
18,219,231,0.06
19,219,332,0.51
20,134,146,0.17
21,134,407,0.33
22,200,361,0.24
23,200,220,0.33
24,133,84,0.24
25,133,171,0.35
26,23,492,0.73
27,23,261,0.02
28,129,229,0.84
29,129,183,0.23
30,73,152,0.75
31,73,491,0.8
32,102,139,0.79
33,102,199,0.71
34,11,314,0.05
35,11,22,0.74
36,242,342,0.08
37,242,69,0.59
38,26,209,0.2
39,26,22,0.7
40,194,186,0.46
41,194,180,0.19
42,158,288,0.45
43,158,34,0.39
44,139,149,0.44
45,139,199,0.73
46,210,112,0.76
47,210,216,0.67
48,204,75,0.01
49,204,117,0.51
50,15,150,0.45
51,15,385,0.19
52,183,429,0.26
53,183,67,0.59
54,27,418,0.01
55,27,132,0.04
56,45,433,0.71
57,45,485,0.34
58,161,202,0.05
59,161,298,0.59
60,121,270,0.38
61,121,418,0.03
62,145,99,0.32
63,145,156,0.46
64,107,382,0.44
65,107,463,0.11
66,116,266,0.37
67,116,14,0.6
68,91,445,0.08
69,91,9,0.39
70,186,194,0.64
71,186,162,0.46
72,191,76,0.98
73,191,74,0.13
74,179,436,0.56
75,179,232,0.1
76,81,171,0.97
77,81,281,0.29
78,241,203,0.71
79,241,221,0.01
80,3,40,0.35
81,3,261,0.07
82,239,335,0.78
83,239,238,0.34
84,144,138,0.92
85,144,447,0.01
86,135,456,0.3
87,135,275,0.09
88,164,414,0.7
89,164,135,0.77
90,208,313,0.72
91,208,200,0.4
92,123,458,0.41
93,123,308,0.13
94,237,248,0.3
95,237,243,0.47
96,220,101,0.03
97,220,278,0.76
98,75,256,0.08
99,75,15,0.74
100,180,249,0.05
101,180,480,0.41
102,180,61,0.04
103,180,385,0.02
104,211,50,0.42
105,211,107,0.38
106,211,66,0.6
107,211,456,0.08
108,115,308,0.01
109,115,479,0.64
110,115,112,0.39
111,115,56,0.04
112,190,85,0.42
113,190,311,0.11
114,190,344,0.59
115,190,372,0.14
116,99,456,0.42
117,99,216,0.66
118,99,352,0.07
119,99,0,0.42
120,51,386,0.01
121,51,497,0.49
122,51,173,0.99
123,51,54,0.98
124,225,68,0.58
125,225,86,0.68
126,225,105,0.22
127,225,309,0.73
128,120,164,0.02
129,120,195,0.81
130,120,63,0.9
131,120,34,0.43
132,223,468,0.1
133,223,493,0.63
134,223,446,0.47
135,223,66,0.22
136,185,419,0.6
137,185,269,0.35
138,185,123,0.34
139,185,451,0.99
140,97,86,0.61
141,97,190,0.15
142,97,115,0.76
143,97,2,0.17
144,105,404,0.01
145,105,158,0.75
146,105,19,0.72
147,105,314,0.47
148,167,392,0.33
149,167,126,0.75
150,167,277,0.83
151,167,458,0.71
152,13,173,0.26
153,13,328,0.25
154,13,487,0.08
155,13,7,0.55
156,64,265,0.65
157,64,377,0.62
158,64,160,0.35
159,64,240,0.71
160,49,96,0.58
161,49,433,0.68
162,49,236,0.13
163,49,332,0.58
164,187,317,0.21
165,187,412,0.77
166,187,0,0.53
167,187,285,0.31
