Timestamp,Reader,Paper,Score
0,1135,4926,1.0
1,1135,2949,0.41
2,607,2426,0.95
3,607,4806,0.18
4,1116,1456,0.89
5,1116,1349,0.28
6,879,2717,0.95
7,879,2375,0.72
8,746,1939,0.2
9,746,2439,0.73
10,1352,1803,0.69
11,1352,173,0.96
12,1173,3376,0.42
13,1173,2658,0.9
14,1344,1283,0.45
15,1344,2123,0.42
16,2242,4857,0.92
17,2242,4427,0.48
18,1008,4673,0.84
19,1008,541,0.57
20,2337,1006,0.47
21,2337,3951,0.61
22,898,1478,0.82
23,898,2344,0.8
24,1552,729,0.75
25,1552,812,0.53
26,2192,1172,1.2
27,2192,2813,0.2
28,452,568,1.11
29,452,4186,1.03
30,14,2869,1.03
31,14,2281,1.26
32,204,3243,1.02
33,204,3506,0.57
34,1549,2062,1.27
35,1549,2735,0.33
36,1783,1638,0.31
37,1783,337,0.35
38,490,919,0.44
39,490,256,0.66
40,45,419,0.98
41,45,2135,0.85
42,366,1358,0.86
43,366,4481,0.45
44,290,3671,0.18
45,290,2670,0.11
46,990,3696,1.49
47,990,516,0.4
48,1510,1946,0.73
49,1510,3963,1.07
50,2487,4700,0.73
51,2487,4489,0.43
52,872,3574,0.39
53,872,999,0.35
54,2076,1812,0.14
55,2076,540,0.91
56,511,2141,0.49
57,511,279,0.53
58,302,775,1.21
59,302,466,0.81
60,1793,821,0.92
61,1793,3821,1.13
62,29,4279,0.96
63,29,3169,0.32
64,802,1158,0.52
65,802,2687,0.3
66,696,388,0.97
67,696,3133,0.21
68,1097,163,1.05
69,1097,2537,0.29
70,858,2549,0.28
71,858,1172,1.2
72,1887,3753,0.67
73,1887,305,0.85
74,935,425,0.74
75,935,2569,0.34
76,827,1504,1.09
77,827,2201,0.48
78,630,768,0.37
79,630,1183,1.17
80,31,4035,0.07
81,31,4634,0.46
82,2265,1957,0.39
83,2265,4456,0.97
84,830,4453,1.13
85,830,2433,0.4
86,2181,3196,0.96
87,2181,4150,0.55
88,2243,3722,0.89
89,2243,2129,0.94
90,2044,1586,1.0
91,2044,1684,0.7
92,651,1953,1.16
93,651,3116,0.83
94,868,2040,0.53
95,868,3838,1.17
96,1266,3584,0.22
97,1266,3084,0.68
98,1605,3722,0.89
99,1605,1737,0.82
100,215,1751,0.44
101,215,3733,0.55
102,1455,4533,0.78
103,1455,1809,0.61
104,1788,4007,0.56
105,1788,1660,1.03
106,315,1900,0.79
107,315,4218,0.34
108,73,4654,0.57
109,73,548,0.95
110,874,1581,1.05
111,874,1258,0.26
112,770,2191,0.24
113,770,4227,0.22
114,787,4293,0.49
115,787,3572,0.53
116,631,2837,0.93
117,631,1743,0.92
118,1016,3760,0.4
119,1016,2528,0.38
120,195,3593,0.71
121,195,703,0.76
122,545,4605,0.46
123,545,860,0.33
124,1918,4851,0.68
125,1918,1150,1.02
126,1418,695,0.46
127,1418,558,0.62
128,930,1178,0.57
129,930,4554,1.06
130,1507,3935,0.56
131,1507,15,0.78
132,1120,2270,0.97
133,1120,2110,0.27
134,503,4644,1.12
135,503,1829,0.88
136,1636,2519,0.39
137,1636,950,1.37
138,1614,3614,0.56
139,1614,3610,0.88
140,136,3784,0.37
141,136,17,1.26
142,1761,3882,0.91
143,1761,4372,0.97
144,201,1752,1.09
145,201,4720,1.09
146,854,1765,0.4
147,854,3870,0.58
148,183,1441,0.6
149,183,2202,0.74
150,1095,673,1.1
151,1095,2874,1.25
152,1489,1069,0.44
153,1489,1235,0.14
154,2425,2281,1.26
155,2425,2097,1.39
156,2142,1925,0.5
157,2142,1043,1.01
158,595,4574,0.85
159,595,973,0.78
160,1508,4351,0.81
161,1508,936,0.21
162,2091,216,0.67
163,2091,2929,0.32
164,1647,3675,1.0
165,1647,845,0.81
166,1307,3969,0.75
167,1307,968,1.06
168,974,942,0.24
169,974,4759,0.53
170,2321,2373,0.4
171,2321,572,0.25
172,756,528,0.53
173,756,2796,0.98
174,1676,702,0.99
175,1676,4010,0.5
176,2378,1877,0.48
177,2378,1233,0.16
178,1402,1183,1.17
179,1402,935,0.26
180,2111,1470,0.2
181,2111,3989,0.73
182,451,4844,0.59
183,451,2061,0.44
184,1111,3601,1.09
185,1111,2087,0.55
186,1028,2135,0.85
187,1028,599,0.89
188,322,1050,1.0
189,322,87,1.21
190,1239,1080,0.16
191,1239,3745,0.99
192,601,513,0.72
193,601,247,0.57
194,560,2802,0.53
195,560,4342,0.59
196,1342,2727,0.94
197,1342,1154,0.11
198,1925,2602,0.72
199,1925,3156,1.02
200,1233,4944,0.86
201,1233,2202,0.74
202,2480,4541,0.34
203,2480,4050,0.77
204,1867,4196,0.6
205,1867,4713,0.64
206,2433,2499,0.29
207,2433,3324,0.29
208,2122,923,0.26
209,2122,4647,0.62
210,1012,3439,0.68
211,1012,4428,0.56
212,2471,1324,0.61
213,2471,1177,0.72
214,2153,406,0.56
215,2153,4260,0.82
216,1640,1031,1.04
217,1640,117,0.35
218,1604,4248,1.22
219,1604,3178,0.73
220,460,1354,0.45
221,460,2463,0.7
222,1690,3656,1.2
223,1690,275,0.58
224,820,2554,0.05
225,820,4698,1.01
226,923,347,0.61
227,923,4834,1.26
228,1123,4890,0.83
229,1123,1985,0.27
230,118,2496,0.47
231,118,4931,1.03
232,1794,3044,0.79
233,1794,4664,0.25
234,55,3111,0.41
235,55,952,1.02
236,2406,700,0.76
237,2406,4557,1.06
238,2212,990,0.61
239,2212,1161,0.84
240,963,4271,0.67
241,963,1499,1.06
242,98,1665,0.26
243,98,4260,0.82
244,1779,1698,0.22
245,1779,182,0.99
246,2382,3785,0.77
247,2382,1655,0.76
248,1602,3393,1.18
249,1602,2864,1.0
250,2462,3473,0.04
251,2462,726,1.0
252,2049,3797,0.96
253,2049,3400,0.65
254,0,3801,0.89
255,0,94,0.63
256,717,1042,0.46
257,717,1585,0.18
258,1921,3867,1.15
259,1921,4047,0.31
260,1702,2103,0.88
261,1702,367,0.57
262,907,1624,0.38
263,907,4260,0.82
264,119,766,1.17
265,119,3302,0.7
266,1865,4547,0.97
267,1865,2595,0.33
268,1808,1975,0.76
269,1808,1801,0.25
270,2450,1811,0.43
271,2450,2669,0.89
272,1753,2723,0.62
273,1753,3526,0.04
274,1080,1709,0.53
275,1080,2107,1.12
276,1525,2415,0.62
277,1525,836,0.33
278,2061,128,1.04
279,2061,2368,1.16
280,1978,3844,0.41
281,1978,4625,0.51
282,1006,1707,0.61
283,1006,3573,1.46
284,2105,1777,0.92
285,2105,3375,0.41
286,1938,434,0.61
287,1938,4691,0.47
288,2129,2970,0.78
289,2129,4565,0.27
290,1314,2609,0.25
291,1314,746,0.76
292,815,2609,0.25
293,815,1994,0.66
294,621,3778,0.72
295,621,878,0.54
296,1112,1782,0.44
297,1112,1493,0.33
298,1661,4407,0.54
299,1661,1004,0.44
300,32,3787,0.55
301,32,554,0.28
302,611,4682,0.27
303,611,1675,0.75
304,1133,3576,0.42
305,1133,2792,1.53
306,1075,2521,0.8
307,1075,4735,1.02
308,2349,3589,1.2
309,2349,3413,0.64
310,1707,775,1.21
311,1707,3225,0.42
312,1010,2180,0.96
313,1010,677,1.07
314,2013,1574,1.31
315,2013,3977,1.0
316,1000,1314,0.25
317,1000,667,0.48
318,636,4808,1.41
319,636,499,0.76
320,1382,2203,0.33
321,1382,1967,0.58
322,1210,387,0.17
