Timestamp,Reader,Paper,Score
0,893,3785,0.05
1,893,3213,0.54
2,194,7977,0.54
3,194,4091,0.99
4,520,8445,0.58
5,520,1017,0.22
6,776,3047,0.15
7,776,4862,0.81
8,597,3153,0.58
9,597,570,0.79
10,684,1798,0.42
11,684,8657,0.45
12,493,7065,0.09
13,493,5552,0.08
14,638,1887,0.33
15,638,4579,0.99
16,378,7175,0.26
17,378,494,0.42
18,14,8759,0.81
19,14,1609,0.65
20,519,3756,0.5
21,519,581,0.57
22,820,2757,0.59
23,820,3221,0.4
24,364,8554,0.32
25,364,118,0.17
26,221,9092,0.46
27,221,2386,0.58
28,377,4413,0.97
29,377,3695,0.74
30,805,3861,0.72
31,805,7700,0.47
32,793,2509,0.15
33,793,5596,0.84
34,190,3431,1.0
35,190,5382,0.74
36,282,3679,0.74
37,282,7721,0.16
38,926,1587,0.29
39,926,8954,0.06
40,560,9728,0.51
41,560,4594,0.1
42,571,9714,0.4
43,571,5098,0.41
44,216,9797,0.72
45,216,5070,0.58
46,259,472,0.07
47,259,9882,0.15
48,146,4780,0.77
49,146,1365,0.57
50,567,4602,0.32
51,567,9643,0.96
52,837,46,0.27
53,837,9737,0.06
54,785,4688,0.73
55,785,2327,0.62
56,919,9948,0.51
57,919,2018,0.55
58,599,1833,0.05
59,599,866,1.01
60,750,6849,0.33
61,750,2864,0.53
62,918,5322,0.94
63,918,6684,0.91
64,669,2050,0.95
65,669,1376,0.09
66,220,4466,0.94
67,220,9545,0.42
68,246,8565,0.62
69,246,2413,0.97
70,431,6106,0.36
71,431,2211,0.5
72,961,7390,0.93
73,961,4886,0.9
74,999,4692,0.78
75,999,8547,0.89
76,340,2460,0.17
77,340,3368,0.35
78,948,499,0.71
79,948,2153,0.66
80,845,4514,0.25
81,845,2554,0.6
82,338,8136,0.77
83,338,1390,0.36
84,896,7816,0.21
85,896,8071,0.41
86,858,5958,0.24
87,858,2420,0.4
88,452,9482,0.65
89,452,4615,0.18
