Timestamp,Reader,Paper,Score
0,235,3466,0.65
1,996,392,0.5
2,349,3542,0.08
3,34,3706,0.75
4,557,9389,0.15
5,967,2997,0.18
6,343,5841,0.26
7,595,2333,0.48
8,989,8886,0.9
9,181,3578,0.36
10,120,2447,0.61
11,852,7771,0.25
12,789,7482,0.46
13,547,5813,0.28
14,591,9137,0.13
15,183,3216,0.87
16,500,4158,0.01
17,666,11,0.58
18,280,8995,0.68
19,329,3831,0.8
20,185,2636,0.4
21,88,7647,0.9
22,918,7260,0.28
23,395,4309,0.02
24,877,1096,0.41
25,936,1449,0.31
26,267,4807,0.02
27,715,4510,0.56
28,144,2468,0.5
29,655,7569,0.31
30,291,2902,0.42
31,266,772,0.58
32,856,4007,0.09
33,368,3862,0.48
34,708,1010,0.64
35,693,2997,0.94
36,895,6108,0.01
37,546,5313,0.17
38,13,8232,0.4
39,45,2699,0.01
40,173,7201,0.98
41,669,1478,0.06
42,261,671,0.85
43,105,8340,0.01
44,901,583,0.12
45,653,8116,0.04
46,98,2907,0.43
47,768,5961,0.64
48,940,2668,0.39
49,496,5137,0.4
50,528,4747,0.45
51,207,825,0.64
52,494,7683,0.28
53,720,4221,0.2
54,281,6521,0.41
55,423,1611,0.44
56,818,667,0.26
57,983,1820,0.96
58,917,426,0.37
59,938,4008,0.13
60,912,5664,0.08
61,171,8295,0.01
62,85,7080,0.39
63,174,2567,0.48
64,140,6479,0.09
65,901,67,0.04
66,266,1642,0.39
67,707,8749,0.31
68,588,5684,0.67
69,45,8732,0.86
70,877,6074,0.54
71,571,5842,0.53
72,510,4155,0.01
73,356,5822,0.36
74,174,341,0.1
75,761,4417,0.66
76,755,111,0.22
77,422,909,0.2
78,924,8298,0.04
79,928,6581,0.26
80,710,7048,0.04
81,394,4808,0.06
82,140,9833,0.04
83,563,6644,0.28
84,527,6448,0.24
85,225,555,0.07
86,489,4633,0.21
87,449,1503,0.3
88,709,340,0.65
89,671,9164,0.54
90,629,1946,0.61
91,720,5191,0.53
92,603,4145,0.18
93,496,6452,0.43
94,386,2977,0.53
95,880,2333,0.26
96,384,8199,0.34
97,295,295,0.59
98,444,116,0.08
99,494,1022,0.64
100,857,9034,0.47
101,577,4273,0.4
102,802,6239,0.33
