Timestamp,Reader,Paper,Score
0,44,109,0.17
1,44,231,0.66
2,44,181,0.64
3,44,74,0.82
4,44,106,0.5
5,44,21,0.94
6,24,170,0.82
7,24,165,0.99
8,24,10,0.64
9,24,164,0.14
10,24,239,0.11
11,24,181,0.64
12,2,181,0.64
13,2,131,0.88
14,2,160,0.09
15,2,142,0.63
16,2,225,0.86
17,2,220,0.42
18,5,33,0.69
19,5,212,0.1
20,5,161,0.92
21,5,180,0.69
22,5,137,0.73
23,5,108,0.42
24,27,200,0.45
25,27,115,0.73
26,27,222,0.15
27,27,152,0.7
28,27,241,0.56
29,27,142,0.63
30,4,163,0.84
31,4,195,0.62
32,4,93,0.59
33,4,43,0.28
34,4,166,0.29
35,4,202,0.61
36,17,244,0.66
37,17,120,0.4
38,17,219,0.66
39,17,241,0.56
40,17,146,0.73
41,17,0,0.3
42,8,57,0.23
43,8,13,0.46
44,8,228,0.04
45,8,240,0.43
46,8,191,0.83
47,8,26,0.42
48,20,19,0.79
49,20,247,0.78
50,20,53,0.75
51,20,3,0.13
52,20,26,0.42
53,20,66,0.74
54,11,142,0.63
55,11,155,0.84
56,11,34,0.05
57,11,121,0.89
58,11,38,0.75
59,11,97,0.21
60,11,78,0.5
61,11,132,0.06
62,11,158,0.21
63,11,13,0.46
64,11,226,0.86
65,11,165,0.99
66,38,11,0.09
67,38,234,0.63
68,38,148,0.99
69,38,93,0.59
70,38,225,0.86
71,38,136,0.6
72,38,77,0.08
73,38,51,0.22
74,38,96,0.83
75,38,184,0.78
76,38,243,0.68
77,38,48,0.28
78,23,63,0.05
79,23,27,0.9
80,23,236,0.45
81,23,122,0.09
82,23,192,0.44
83,23,16,0.96
84,23,134,0.56
85,23,235,0.29
86,23,124,0.83
87,23,186,0.43
88,23,8,0.12
89,23,2,0.75
90,15,119,0.98
91,15,134,0.56
92,15,126,0.12
93,15,168,0.1
94,15,64,0.05
95,15,199,0.94
96,15,161,0.92
97,15,57,0.23
98,15,114,0.7
99,15,201,0.35
100,15,163,0.84
101,15,192,0.44
102,6,156,0.39
103,6,68,1.0
104,6,167,0.98
105,6,142,0.63
106,6,164,0.14
107,6,98,0.49
108,6,245,0.26
109,6,15,0.19
110,6,57,0.23
111,6,181,0.64
112,6,248,0.04
113,6,59,0.24
114,25,58,0.19
115,25,50,0.15
116,25,221,0.82
117,25,10,0.64
118,25,53,0.75
119,25,89,0.99
120,25,218,0.96
121,25,22,0.24
122,25,193,0.6
123,25,60,0.78
124,25,84,0.34
125,25,99,0.35
126,37,72,0.89
127,37,246,0.23
128,37,56,0.2
129,37,78,0.5
130,37,47,0.31
131,37,156,0.39
132,37,68,1.0
133,37,69,0.75
134,37,81,0.42
135,37,213,0.01
136,37,59,0.24
137,37,159,0.94
138,34,225,0.86
139,34,164,0.14
140,34,105,0.51
141,34,152,0.7
142,34,150,0.99
143,34,238,0.9
144,34,140,0.78
145,34,38,0.75
146,34,233,0.13
147,34,7,0.53
148,34,99,0.35
