Timestamp,Reader,Paper,Score
0,153,0,1.0
1,132,3,0.98
2,118,4,0.94
3,79,41,0.98
4,143,52,0.71
5,100,0,0.96
6,80,27,0.57
7,23,58,0.49
8,49,39,0.6
9,125,38,0.51
10,6,52,0.5
11,105,8,0.14
12,18,21,0.42
13,0,50,0.4
14,77,35,0.84
15,72,25,0.46
16,7,58,0.61
17,2,5,0.29
18,175,24,0.99
19,85,1,0.07
20,31,8,0.8
21,67,3,0.85
22,98,53,0.08
23,77,53,0.42
24,107,58,0.39
25,191,57,0.86
26,68,56,0.71
27,165,30,0.96
28,9,59,0.7
29,49,27,0.91
30,158,38,0.46
31,3,46,0.26
32,15,22,0.85
33,49,43,0.53
34,90,14,0.53
35,34,43,0.38
36,7,5,0.63
37,193,8,0.56
38,53,30,0.92
39,136,18,0.66
40,167,19,0.75
41,84,9,0.84
42,101,3,0.8
43,178,28,0.04
44,69,26,0.99
45,98,12,0.62
46,93,11,0.47
47,61,56,0.4
48,140,46,0.47
49,61,48,0.86
50,187,36,0.62
51,152,9,1.0
52,35,46,0.51
53,143,11,0.52
54,150,9,0.92
55,152,52,0.23
56,139,40,0.59
57,98,20,0.59
58,85,5,0.46
59,125,41,0.8
60,128,20,0.59
61,155,5,0.49
62,39,12,0.68
63,127,38,0.63
64,126,21,0.67
65,189,23,0.34
66,19,45,0.84
67,182,5,0.56
68,8,28,0.91
69,91,57,0.93
70,4,34,0.47
71,175,11,0.66
72,10,1,0.69
73,117,20,0.5
74,143,54,0.98
75,136,28,0.76
76,165,6,0.55
77,76,6,0.51
78,55,17,0.55
79,0,8,0.6
80,100,20,0.48
81,68,2,0.71
82,35,48,0.94
83,180,38,0.44
84,135,12,0.53
85,62,50,0.73
86,67,39,0.71
87,77,57,0.81
88,46,35,0.81
89,8,12,0.8
90,143,29,0.57
91,46,0,0.99
92,60,33,0.61
93,107,56,0.47
94,78,8,0.54
95,108,2,0.28
96,158,47,0.44
97,5,43,0.65
98,186,43,0.56
99,160,3,0.98
100,72,32,0.91
101,90,30,0.9
102,43,34,0.61
103,23,20,0.55
104,98,28,0.67
105,35,49,0.61
106,71,36,0.62
107,156,46,0.62
108,91,33,0.54
109,23,47,0.03
110,113,9,0.98
111,30,21,0.77
112,40,53,0.16
113,68,57,0.93
114,132,25,0.57
115,64,23,0.78
116,26,36,0.57
117,36,42,0.81
118,41,49,0.71
119,1,4,0.97
120,90,13,0.95
121,186,8,0.1
122,23,57,0.92
123,30,51,0.94
124,61,3,0.94
125,77,33,0.49
126,36,50,0.79
127,124,19,0.72
128,8,31,0.47
129,175,9,0.99
130,109,18,0.53
131,98,45,0.65
132,82,53,0.72
133,121,57,0.94
134,80,33,0.36
135,82,50,0.59
136,152,16,0.95
137,68,45,0.96
138,118,23,0.03
139,68,51,0.89
140,186,15,0.6
141,85,19,0.95
142,13,52,0.58
143,191,37,0.66
144,52,32,0.82
145,156,11,0.45
146,6,47,0.1
147,14,33,0.5
148,29,2,0.62
149,82,56,0.62
150,100,56,0.71
151,114,9,0.99
152,114,6,0.69
153,10,26,0.71
154,33,46,0.48
155,180,29,0.12
156,82,18,0.62
157,56,51,0.84
158,68,55,0.33
159,105,58,0.55
160,134,34,0.46
161,2,29,0.69
162,139,7,0.29
163,179,13,0.82
164,15,20,0.63
165,153,18,0.56
166,146,31,0.59
167,182,26,0.98
168,46,37,0.74
169,108,32,0.15
170,199,5,0.52
171,73,26,0.97
172,35,45,0.93
173,13,4,0.91
174,30,56,0.68
175,85,25,0.48
176,162,14,0.6
177,49,3,0.92
178,46,43,0.66
179,127,22,0.96
180,76,38,0.66
181,148,31,0.4
182,149,40,0.41
183,107,0,0.74
184,67,40,0.51
185,121,51,0.95
186,38,22,0.96
187,192,27,0.87
188,20,11,0.65
189,85,16,0.04
190,187,6,0.39
191,173,17,0.63
192,72,29,0.74
193,39,7,0.36
194,98,44,0.97
195,158,19,1.0
196,99,25,0.73
197,2,8,0.02
198,68,5,0.61
199,109,10,0.62
200,8,11,0.59
201,48,21,0.43
202,140,11,0.6
203,28,30,0.95
204,198,43,0.38
205,42,39,0.46
206,103,38,0.62
207,3,0,0.98
208,53,13,1.0
209,111,55,0.81
210,198,14,0.71
211,41,35,0.89
212,149,25,0.54
213,115,16,0.28
214,16,0,0.78
215,86,20,0.8
216,73,13,1.0
217,53,35,0.99
218,140,23,0.38
219,67,0,0.87
220,23,24,0.86
221,31,25,0.4
222,100,33,0.38
223,97,33,0.69
224,151,7,0.08
225,154,43,0.26
226,92,56,0.39
227,195,57,0.86
228,42,42,0.63
229,113,50,0.61
230,72,7,0.13
231,36,1,0.57
232,135,30,0.98
233,175,37,0.53
234,71,45,0.71
235,113,30,0.97
236,68,6,0.39
237,33,39,0.47
238,19,35,0.91
239,22,18,0.6
240,181,3,0.84
241,82,20,0.42
242,157,16,0.64
243,94,52,0.64
244,165,31,0.85
245,35,19,0.87
246,44,33,0.39
247,124,1,0.72
248,12,24,0.07
249,192,3,0.9
250,68,15,0.67
251,71,19,0.77
252,8,0,0.89
253,60,53,0.74
254,100,39,0.62
255,140,57,0.98
256,139,53,0.24
257,13,18,0.49
258,4,16,0.02
259,129,30,1.0
260,108,46,0.63
261,187,32,0.09
262,116,53,0.72
263,191,13,0.96
264,35,38,0.55
265,101,54,0.39
266,162,27,0.94
267,72,38,0.65
268,80,34,0.47
269,18,20,0.57
270,9,17,0.58
271,35,4,0.96
272,159,44,0.87
273,18,15,0.48
274,130,44,0.98
275,6,56,0.72
276,6,7,0.41
277,153,14,0.65
278,183,23,0.24
279,183,20,0.66
280,7,42,0.57
281,122,24,0.25
282,140,47,0.81
283,96,48,0.61
284,139,22,0.96
285,45,7,0.21
286,195,23,0.63
287,12,50,0.79
288,60,20,0.75
289,44,12,0.4
290,35,22,0.94
291,146,50,0.56
292,175,26,0.88
293,99,51,0.85
294,187,27,0.91
295,143,24,0.92
296,86,40,0.28
297,15,42,0.7
298,61,43,0.57
299,0,58,0.51
300,107,8,0.34
301,84,2,0.47
302,30,59,0.26
303,36,30,0.91
304,72,54,0.04
305,176,41,0.96
306,199,3,0.96
307,121,3,0.67
308,158,15,0.56
309,193,59,0.4
310,188,19,0.94
311,162,6,0.45
312,99,56,0.52
313,46,29,0.81
314,182,20,0.54
315,68,18,0.56
316,195,49,0.45
317,44,49,0.65
318,101,58,0.4
319,169,4,0.94
320,67,24,0.59
321,73,30,0.98
322,195,33,0.43
323,63,6,0.41
324,192,25,0.74
325,51,31,0.67
326,32,35,0.88
327,134,41,0.97
328,175,35,0.84
329,32,58,0.46
330,57,39,0.16
331,121,21,0.76
332,90,7,0.94
333,173,28,0.47
334,149,9,0.91
335,101,45,0.95
336,24,53,0.82
337,38,26,0.97
338,33,10,0.84
339,101,26,0.88
340,3,39,0.63
341,154,59,0.71
342,195,46,0.56
343,121,39,0.66
344,182,45,0.96
345,19,13,0.97
346,73,4,0.89
347,99,55,0.27
348,69,35,0.98
349,50,59,0.54
350,187,0,0.75
351,139,25,0.67
352,60,59,0.1
353,72,59,0.82
354,12,35,0.93
355,8,48,0.96
356,140,12,0.34
357,163,8,0.97
358,23,8,0.8
359,132,24,0.65
360,76,44,0.72
361,24,15,0.36
362,16,51,0.96
363,5,36,0.7
364,10,25,0.15
365,46,9,0.9
366,55,4,0.99
367,187,1,0.77
368,60,25,0.35
369,192,47,0.77
370,139,12,0.52
371,74,30,0.84
372,113,23,0.96
373,109,19,0.85
374,104,34,0.51
375,113,32,0.02
376,187,29,0.14
377,47,25,0.65
378,150,3,0.94
379,195,7,0.01
380,76,50,0.92
381,65,51,0.87
382,62,30,0.99
383,3,17,0.41
384,149,50,0.35
385,35,26,0.94
386,117,50,0.74
387,171,36,0.6
388,16,35,0.62
389,98,25,0.83
390,23,14,0.45
391,82,14,0.42
392,195,47,0.59
393,81,2,0.32
394,175,1,0.4
395,31,26,0.97
396,165,59,0.84
397,146,39,0.17
398,64,29,0.46
399,24,35,0.97
400,188,30,0.93
401,188,11,0.75
402,31,7,0.11
403,77,56,0.45
404,2,27,0.86
405,184,5,0.52
406,33,37,0.38
407,179,44,0.85
408,10,21,0.85
409,3,55,0.86
410,139,58,0.66
411,73,5,0.59
412,6,11,0.79
413,30,24,0.01
414,124,0,0.96
415,171,52,0.39
416,11,33,0.89
417,54,50,0.41
418,37,28,0.66
419,0,48,0.92
420,182,39,0.42
421,109,47,0.59
422,168,8,0.19
423,73,48,0.95
424,175,30,0.86
425,85,10,0.98
426,67,17,0.76
427,93,8,0.06
428,13,57,0.87
429,140,8,0.27
430,49,24,0.53
431,185,29,0.6
432,123,50,0.28
433,39,16,0.9
434,106,3,1.0
435,6,27,0.85
436,91,45,0.99
437,165,5,0.57
438,2,31,0.37
439,73,50,0.43
440,69,44,0.97
441,82,51,0.98
442,69,56,0.49
443,108,29,0.89
444,68,16,0.34
445,80,57,0.89
446,15,21,0.44
447,46,22,0.84
448,2,19,0.89
449,71,14,0.58
450,189,28,0.54
451,149,34,0.64
452,44,41,1.0
453,6,34,0.21
454,55,12,0.67
455,12,58,0.18
456,60,31,0.59
457,15,35,0.91
458,107,18,0.38
459,189,12,0.61
460,130,28,0.51
461,54,14,0.56
462,109,31,0.57
463,71,28,0.78
464,86,1,0.21
465,121,14,0.56
466,146,2,0.55
467,85,18,0.43
468,32,17,0.62
469,54,15,0.74
470,32,8,0.28
471,161,26,0.83
472,82,16,0.9
473,53,49,0.23
474,69,4,0.99
475,57,2,0.62
476,146,14,0.6
477,124,14,0.63
478,50,49,0.23
479,177,4,0.94
480,193,47,0.95
481,187,38,0.4
482,189,36,0.56
483,63,41,0.82
484,47,15,0.62
485,188,45,0.98
486,151,58,0.33
487,143,47,0.58
488,193,24,0.6
489,112,5,0.51
490,124,40,0.28
491,8,27,0.83
492,57,48,0.85
493,189,41,0.96
494,84,45,0.88
495,199,13,0.85
496,91,48,0.81
497,56,48,0.84
498,113,54,0.8
499,91,40,0.34
500,119,9,0.99
501,121,4,0.86
502,179,38,0.78
503,1,55,0.34
504,11,14,0.73
505,116,13,0.96
506,2,52,0.74
507,91,22,0.92
508,68,49,0.83
509,162,7,0.01
510,23,44,0.89
511,152,4,0.85
512,162,40,0.37
513,102,37,0.37
514,37,49,0.14
