Timestamp,Reader,Paper,Score,Reader-Label
0,23,1186,0.94,R#23
1,405,179,0.51,R#405
2,279,1243,0.39,R#279
3,432,276,0.48,R#432
4,212,486,0.12,R#212
5,113,684,0.24,R#113
6,145,318,0.65,R#145
7,201,396,0.45,R#201
8,371,350,0.25,R#371
9,251,1003,0.54,R#251
10,315,1465,0.28,R#315
11,422,1036,0.62,R#422
12,46,178,0.33,R#46
13,117,1114,0.99,R#117
14,86,792,0.17,R#86
15,157,35,0.96,R#157
16,370,902,0.31,R#370
17,455,627,0.5,R#455
18,14,534,0.72,R#14
19,461,176,1.0,R#461
20,340,1035,0.66,R#340
21,322,696,0.24,R#322
22,94,413,0.37,R#94
23,222,1549,0.21,R#222
24,266,295,0.12,R#266
25,406,1320,0.35,R#406
26,80,1103,0.84,R#80
27,16,1227,0.09,R#16
28,217,1030,0.36,R#217
29,185,177,0.24,R#185
30,292,550,0.36,R#292
31,450,329,0.58,R#450
32,352,1302,0.39,R#352
33,54,634,0.12,R#54
34,168,1285,0.84,R#168
35,95,894,0.49,R#95
36,420,33,0.58,R#420
37,158,953,0.11,R#158
38,51,1361,0.24,R#51
39,328,901,1.0,R#328
40,350,383,0.77,R#350
41,105,596,0.45,R#105
42,43,1333,0.51,R#43
43,139,444,0.56,R#139
44,136,1324,0.75,R#136
45,129,1478,0.39,R#129
46,131,1161,0.03,R#131
47,264,653,0.26,R#264
48,407,1064,0.89,R#407
49,316,754,0.48,R#316
50,464,943,0.51,R#464
51,248,1295,1.0,R#248
52,186,38,0.22,R#186
53,33,113,0.2,R#33
54,17,591,0.56,R#17
55,373,1123,0.18,R#373
56,414,354,0.07,R#414
57,44,379,0.72,R#44
58,15,547,0.68,R#15
59,310,1110,0.54,R#310
60,2,909,0.64,R#2
61,53,198,0.54,R#53
62,424,741,0.33,R#424
63,236,129,1.0,R#236
64,414,922,0.98,R#414
65,138,1353,0.08,R#138
66,255,164,0.25,R#255
67,460,793,0.72,R#460
68,350,1069,0.68,R#350
69,72,620,0.47,R#72
70,327,148,1.0,R#327
71,406,1416,0.33,R#406
72,268,933,0.27,R#268
73,408,544,0.44,R#408
74,267,1584,0.25,R#267
75,32,715,0.72,R#32
76,171,218,0.38,R#171
77,428,1050,0.25,R#428
78,245,34,0.18,R#245
79,173,383,0.47,R#173
80,244,887,0.41,R#244
81,245,1396,0.02,R#245
82,18,173,0.84,R#18
83,364,277,1.0,R#364
84,450,871,0.21,R#450
85,429,698,0.57,R#429
86,311,257,0.08,R#311
87,295,217,0.32,R#295
88,21,1141,0.81,R#21
89,444,758,0.48,R#444
90,438,20,0.27,R#438
91,136,643,0.34,R#136
92,32,895,0.35,R#32
93,11,279,0.17,R#11
94,107,1195,0.01,R#107
95,231,372,0.03,R#231
96,406,557,0.7,R#406
97,13,661,0.53,R#13
98,382,851,0.77,R#382
99,409,1554,0.41,R#409
100,39,603,0.79,R#39
101,288,799,0.92,R#288
102,366,762,0.41,R#366
103,32,547,0.67,R#32
104,332,1042,0.52,R#332
105,449,200,0.94,R#449
106,77,1517,0.42,R#77
107,352,883,0.42,R#352
108,127,582,0.43,R#127
109,178,253,0.32,R#178
110,454,299,0.43,R#454
111,278,1037,0.4,R#278
112,270,477,0.56,R#270
113,344,273,0.78,R#344
114,158,1429,0.41,R#158
115,147,1227,0.71,R#147
116,14,1039,0.38,R#14
117,182,1098,0.93,R#182
118,367,574,0.37,R#367
119,462,1071,0.65,R#462
120,187,991,0.53,R#187
121,321,464,0.54,R#321
122,178,767,0.61,R#178
123,326,814,0.59,R#326
124,211,824,0.18,R#211
125,323,467,1.0,R#323
126,255,992,1.0,R#255
127,93,1561,0.78,R#93
128,352,582,0.42,R#352
129,163,333,0.97,R#163
130,301,1082,0.34,R#301
131,81,791,0.94,R#81
132,281,830,0.95,R#281
133,421,138,0.67,R#421
134,117,77,0.08,R#117
135,110,1528,0.05,R#110
136,90,1058,0.52,R#90
137,218,1602,0.48,R#218
138,300,1220,1.0,R#300
139,268,231,0.48,R#268
140,32,854,0.99,R#32
141,32,223,0.79,R#32
142,273,449,0.23,R#273
143,448,259,1.0,R#448
144,61,253,0.84,R#61
145,276,790,0.65,R#276
146,74,49,0.73,R#74
147,278,351,0.51,R#278
148,405,446,0.99,R#405
149,64,608,0.07,R#64
150,105,374,0.54,R#105
151,317,496,0.81,R#317
152,417,1447,0.04,R#417
153,366,1102,0.97,R#366
154,80,422,0.34,R#80
155,122,103,0.05,R#122
156,325,531,0.8,R#325
157,290,927,0.43,R#290
158,79,192,0.86,R#79
159,462,836,1.0,R#462
160,39,623,0.04,R#39
161,315,31,0.76,R#315
162,90,1079,0.99,R#90
163,349,554,0.85,R#349
164,411,1080,0.36,R#411
165,192,1019,0.57,R#192
166,221,844,0.56,R#221
167,128,561,0.09,R#128
168,87,1398,0.21,R#87
169,33,476,0.67,R#33
170,5,199,0.39,R#5
171,15,1467,0.65,R#15
172,225,83,0.46,R#225
173,419,968,0.55,R#419
174,43,58,0.65,R#43
175,13,1580,0.08,R#13
176,259,1224,0.02,R#259
177,229,329,0.45,R#229
178,396,491,0.15,R#396
179,296,1123,0.39,R#296
180,133,359,0.32,R#133
181,136,1511,0.41,R#136
182,453,1519,0.49,R#453
183,324,850,0.09,R#324
184,135,749,0.39,R#135
185,324,1000,0.23,R#324
186,143,1121,0.34,R#143
187,264,1484,0.98,R#264
188,21,1358,0.04,R#21
189,97,1080,0.15,R#97
190,146,331,0.24,R#146
191,363,758,0.36,R#363
192,86,988,0.48,R#86
193,50,1023,0.67,R#50
194,331,1434,0.89,R#331
195,35,200,0.85,R#35
196,326,237,0.46,R#326
197,338,68,0.4,R#338
198,458,646,0.21,R#458
199,118,625,0.5,R#118
200,133,246,0.59,R#133
201,444,1331,0.55,R#444
202,220,1604,0.36,R#220
203,410,276,0.81,R#410
204,429,788,0.82,R#429
205,125,1563,0.42,R#125
206,373,401,0.02,R#373
207,187,1116,0.79,R#187
208,94,193,0.93,R#94
209,17,426,1.0,R#17
210,124,345,1.0,R#124
211,227,373,0.56,R#227
212,407,1117,0.55,R#407
213,43,1394,0.65,R#43
214,111,1277,0.16,R#111
215,358,588,0.88,R#358
216,1,1098,0.99,R#1
217,253,1020,0.06,R#253
218,364,29,0.39,R#364
219,294,1263,0.79,R#294
220,276,821,0.96,R#276
221,294,1611,0.79,R#294
222,197,1057,0.47,R#197
223,62,103,0.23,R#62
224,299,898,0.8,R#299
225,324,709,0.84,R#324
226,256,1269,0.9,R#256
227,147,589,0.26,R#147
228,132,957,0.42,R#132
229,223,955,0.91,R#223
