Timestamp,Reader,Paper,Score,Reader-Label
0,686,116,0.96,R#686
1,1015,903,0.4,R#1015
2,524,8,0.54,R#524
3,320,301,0.51,R#320
4,38,144,0.06,R#38
5,308,126,0.32,R#308
6,304,260,0.76,R#304
7,754,670,0.94,R#754
8,656,347,0.25,R#656
9,712,23,0.72,R#712
10,367,367,0.93,R#367
11,457,304,0.48,R#457
12,964,737,0.31,R#964
13,38,200,0.73,R#38
14,563,473,0.24,R#563
15,729,542,0.57,R#729
16,38,602,0.71,R#38
17,913,217,0.28,R#913
18,376,428,0.52,R#376
19,584,943,0.38,R#584
20,67,63,0.84,R#67
21,751,353,0.99,R#751
22,847,938,0.4,R#847
23,276,133,0.73,R#276
24,451,711,0.6,R#451
25,165,232,0.5,R#165
26,38,523,0.55,R#38
27,140,634,0.11,R#140
28,85,728,0.02,R#85
29,725,258,0.52,R#725
30,563,405,0.08,R#563
31,948,568,0.29,R#948
32,697,375,0.81,R#697
33,72,735,0.12,R#72
34,296,879,0.75,R#296
35,467,479,0.27,R#467
36,941,703,0.76,R#941
37,38,139,0.05,R#38
38,61,290,0.14,R#61
39,944,637,0.14,R#944
40,794,933,1.0,R#794
41,360,472,0.28,R#360
42,830,467,0.9,R#830
43,913,65,0.36,R#913
44,123,748,0.29,R#123
45,934,674,0.85,R#934
46,832,313,0.15,R#832
47,726,924,0.4,R#726
48,250,730,0.08,R#250
49,262,464,0.43,R#262
50,656,709,0.71,R#656
51,235,972,0.92,R#235
52,72,729,0.9,R#72
53,373,380,0.86,R#373
54,304,859,0.13,R#304
55,844,697,0.55,R#844
56,540,975,1.0,R#540
57,342,983,0.6,R#342
58,920,176,0.68,R#920
59,165,958,0.56,R#165
60,606,725,0.2,R#606
61,151,126,0.15,R#151
62,872,790,0.64,R#872
63,765,2,0.16,R#765
64,233,205,0.51,R#233
65,883,680,0.02,R#883
66,935,386,0.79,R#935
67,504,108,0.58,R#504
68,360,619,0.43,R#360
69,307,452,0.5,R#307
70,759,204,0.95,R#759
71,155,462,0.81,R#155
72,129,96,0.8,R#129
73,794,890,0.52,R#794
74,367,110,0.69,R#367
75,368,810,0.63,R#368
76,60,34,0.68,R#60
77,344,803,0.01,R#344
78,988,145,0.39,R#988
79,457,751,0.36,R#457
80,72,513,0.49,R#72
81,151,696,0.83,R#151
82,239,810,0.19,R#239
83,490,472,0.7,R#490
84,717,46,0.39,R#717
85,415,736,0.44,R#415
86,996,178,0.48,R#996
87,726,216,0.48,R#726
88,658,564,0.79,R#658
89,641,371,0.01,R#641
90,972,992,0.93,R#972
91,347,743,0.93,R#347
92,446,952,0.64,R#446
93,830,1022,0.44,R#830
94,435,46,0.69,R#435
95,320,427,0.26,R#320
96,1013,978,0.9,R#1013
97,67,820,0.65,R#67
98,524,892,0.49,R#524
99,531,200,0.48,R#531
