Timestamp,Reader,Paper,Score
0,323,176,0.71
1,219,289,0.81
2,496,201,0.35
3,615,247,0.02
4,980,239,0.03
5,266,213,0.48
6,25,208,0.19
7,889,257,0.7
8,712,61,0.01
9,127,203,0.55
10,582,214,0.4
11,545,162,0.89
12,278,165,0.77
13,523,110,0.63
14,626,132,0.73
15,281,145,0.1
16,542,262,0.92
17,338,148,0.58
18,348,30,0.48
19,285,63,0.73
20,192,139,0.02
21,572,161,0.04
22,966,296,0.7
23,851,107,0.64
24,51,137,0.03
25,145,18,0.43
26,524,12,0.52
27,999,267,0.13
28,198,255,0.4
29,919,269,0.15
30,192,226,0.33
31,190,107,0.5
32,611,119,0.08
33,251,88,0.08
34,406,249,0.43
35,828,282,0.47
36,178,51,0.69
37,552,48,0.01
38,6,148,0.51
39,926,117,0.3
40,108,67,0.07
41,464,195,0.55
42,21,245,0.16
43,581,10,0.41
44,717,78,0.48
45,417,280,0.02
46,255,263,0.51
47,823,11,0.17
48,986,226,0.82
49,436,255,0.45
50,17,32,0.41
51,67,119,0.01
52,851,239,0.07
53,17,119,0.02
54,643,30,0.4
55,556,262,0.95
56,629,138,0.31
57,695,180,0.6
58,80,19,0.66
59,840,46,0.51
60,931,274,0.01
61,891,28,0.49
62,595,145,0.11
63,887,88,0.1
64,247,209,0.75
65,323,241,0.99
66,793,89,0.05
67,6,283,0.64
68,649,132,0.54
69,667,217,0.2
70,216,248,0.12
71,301,10,0.47
72,40,141,0.06
73,370,65,0.23
74,110,145,0.07
75,321,124,0.81
76,794,227,0.67
77,776,130,0.93
78,22,193,0.81
79,134,51,0.29
80,127,240,0.03
81,106,157,0.01
82,304,171,0.47
83,0,263,0.55
84,755,96,0.53
85,188,259,0.65
86,319,174,0.49
87,804,57,0.11
88,407,205,0.88
89,849,96,0.54
90,465,298,0.95
91,624,242,0.5
92,203,158,0.59
93,903,105,0.68
94,400,22,0.52
95,59,17,0.6
96,181,194,0.16
97,190,57,0.16
98,291,286,0.55
99,636,13,0.64
100,98,31,0.95
101,520,42,0.03
102,359,204,0.01
103,536,117,0.6
104,355,281,0.55
105,261,297,0.85
106,630,158,0.39
107,978,1,0.83
108,898,27,0.05
109,15,269,0.07
110,966,62,0.08
111,507,21,0.81
112,461,282,0.54
113,931,60,0.43
114,972,286,0.57
115,718,80,0.53
116,216,92,0.09
117,448,160,0.32
118,298,80,0.55
119,364,60,0.48
120,253,73,0.04
121,371,8,0.8
122,546,20,0.22
123,675,187,0.97
124,124,84,0.93
125,127,11,0.3
126,542,55,0.67
127,529,128,0.27
128,517,255,0.42
129,883,207,0.58
130,760,253,0.87
131,643,42,0.04
132,183,67,0.43
133,340,210,0.59
134,433,21,0.83
135,600,37,0.69
136,771,295,0.29
137,132,226,0.52
138,522,157,0.24
139,127,155,0.47
140,588,44,0.33
141,932,136,0.88
142,962,187,0.1
143,968,105,0.21
144,555,261,0.53
145,413,50,0.16
146,692,278,0.04
147,222,157,0.13
148,807,176,0.82
149,308,147,0.35
150,147,119,0.21
151,330,15,0.46
152,340,163,0.09
153,25,245,0.16
154,933,155,0.47
155,572,249,0.47
156,977,13,1.0
157,114,58,0.43
158,574,20,0.07
159,407,225,0.36
160,675,244,0.41
161,743,298,0.41
162,560,286,0.68
163,558,30,0.44
164,428,160,0.76
165,669,83,0.38
166,448,188,0.49
167,678,6,0.83
168,58,14,0.37
169,318,168,0.29
170,698,206,0.38
171,465,250,0.58
172,459,202,0.43
173,466,34,0.49
174,461,224,0.05
175,898,269,0.28
176,510,90,0.5
177,206,17,0.68
178,566,191,0.09
179,992,136,0.67
180,303,288,0.08
181,690,114,0.39
182,360,194,0.2
183,851,198,0.45
184,793,176,0.86
185,326,181,0.01
186,730,245,0.01
