Timestamp,Reader,Paper,Score
0,690,50,0.1
1,694,34,0.65
2,195,198,0.95
3,283,134,0.48
4,522,86,0.03
5,477,129,0.78
6,800,216,0.87
7,357,92,0.47
8,763,273,0.62
9,836,131,0.08
10,766,88,0.78
11,23,55,0.7
12,719,238,0.64
13,82,12,0.52
14,278,205,0.64
15,676,86,0.01
16,930,288,0.57
17,681,21,0.01
18,163,286,0.96
19,980,141,0.64
20,456,286,0.49
21,897,88,0.43
22,242,219,0.86
23,435,286,0.93
24,442,6,0.49
25,240,218,1.0
26,530,237,0.92
27,96,168,1.0
28,201,160,0.98
29,477,153,0.6
30,470,48,0.62
31,843,110,0.02
32,612,241,0.99
33,750,244,0.05
34,643,129,0.52
35,212,209,0.59
36,13,124,0.53
37,272,68,0.21
38,67,16,0.59
39,901,136,0.58
40,430,192,1.0
41,38,2,0.42
42,587,96,0.14
43,184,127,0.6
44,421,280,0.49
45,404,39,0.06
46,252,74,0.19
47,217,84,0.59
48,409,256,0.03
49,507,208,0.71
50,927,117,0.23
51,761,145,0.87
52,998,299,0.86
53,448,117,0.37
54,405,148,0.62
55,0,111,0.77
56,309,226,0.01
57,379,41,0.81
58,195,92,0.17
59,760,261,0.97
60,902,11,0.47
61,898,226,0.01
62,945,52,0.95
63,265,285,0.44
64,547,236,0.27
65,40,75,0.57
66,254,289,0.97
67,373,165,0.25
68,959,103,0.2
69,620,258,0.26
70,21,259,0.4
71,383,245,0.43
72,907,295,0.48
73,80,60,0.01
74,363,237,0.85
75,362,53,0.63
76,118,145,0.72
77,863,48,0.02
78,159,195,0.73
79,722,0,0.69
80,412,236,0.68
81,562,169,0.41
82,856,292,0.77
83,399,288,0.38
84,416,61,0.59
85,726,128,0.79
86,38,239,1.0
87,403,294,0.12
88,152,24,0.05
89,310,247,0.49
90,442,3,0.52
91,954,153,0.45
92,887,256,0.28
93,636,95,0.32
94,612,20,0.06
95,198,94,0.57
96,130,219,0.58
97,87,164,0.03
98,220,20,0.19
99,740,241,0.17
100,699,78,0.01
101,190,95,0.86
102,304,193,0.33
103,658,175,0.5
104,766,79,0.5
105,135,48,0.08
106,405,162,0.96
107,750,293,0.12
108,436,177,0.52
109,83,95,0.89
110,445,11,0.45
111,825,101,0.54
112,405,151,0.02
113,353,68,0.39
114,885,272,0.98
115,839,215,0.52
116,22,202,0.99
117,776,200,0.33
118,707,112,0.32
119,902,221,0.42
120,681,65,0.32
121,434,226,0.01
122,146,83,0.17
123,184,269,0.19
124,975,113,0.05
125,799,249,0.39
126,234,210,0.01
127,599,136,0.82
128,749,158,0.75
129,154,218,0.22
130,744,299,0.87
131,424,205,0.44
132,552,113,0.01
133,548,71,0.59
134,380,278,0.69
135,843,183,0.28
136,786,206,0.01
137,705,70,1.0
138,392,180,0.74
139,79,146,0.02
140,35,174,0.24
141,635,153,0.56
142,319,150,0.03
143,493,105,0.59
144,661,253,0.35
145,897,258,0.37
146,387,260,0.65
147,739,4,0.47
148,499,260,1.0
149,311,4,0.63
150,548,24,0.01
151,210,48,0.29
152,111,12,0.5
153,267,107,0.61
154,391,113,0.01
155,994,209,0.44
156,352,276,0.34
157,305,4,0.3
158,944,8,0.42
159,82,147,0.1
160,123,23,0.64
161,415,90,0.25
162,902,105,0.34
163,710,46,0.7
164,554,84,0.06
165,739,53,0.62
166,64,257,0.61
167,46,1,0.86
168,979,267,0.01
169,480,124,0.63
170,386,272,0.94
171,966,87,0.4
172,313,208,0.73
173,589,92,0.3
174,736,3,0.69
175,83,145,0.8
176,733,228,0.61
