Timestamp,Reader,Paper,Score,Reader-Label
0,448,154,0.8,R#448
1,449,167,0.59,R#449
2,131,193,0.99,R#131
3,657,105,0.21,R#657
4,927,255,0.5,R#927
5,252,215,0.42,R#252
6,581,23,0.64,R#581
7,710,158,0.86,R#710
8,376,155,0.45,R#376
9,721,290,0.99,R#721
10,18,202,0.24,R#18
11,405,10,0.2,R#405
12,151,205,0.07,R#151
13,669,41,0.2,R#669
14,999,186,0.61,R#999
15,51,22,0.24,R#51
16,786,253,0.57,R#786
17,21,53,0.4,R#21
18,680,188,0.56,R#680
19,127,281,0.94,R#127
20,687,11,0.77,R#687
21,966,96,0.66,R#966
22,199,80,0.43,R#199
23,459,224,0.05,R#459
24,668,292,0.53,R#668
25,178,120,0.68,R#178
26,525,207,0.11,R#525
27,332,186,0.86,R#332
28,9,214,0.01,R#9
29,436,82,0.73,R#436
30,403,33,0.34,R#403
31,430,97,0.4,R#430
32,248,253,0.54,R#248
33,581,125,0.71,R#581
34,196,195,0.55,R#196
35,793,17,0.29,R#793
36,712,240,0.28,R#712
37,340,293,0.84,R#340
38,467,100,0.01,R#467
39,56,157,0.01,R#56
40,731,171,0.17,R#731
41,537,133,0.61,R#537
42,563,27,0.01,R#563
43,951,11,0.97,R#951
44,451,173,0.61,R#451
45,456,220,0.05,R#456
46,666,50,0.4,R#666
47,422,15,0.86,R#422
48,398,71,0.79,R#398
49,509,250,0.59,R#509
50,220,125,0.44,R#220
51,862,13,0.63,R#862
52,213,193,0.79,R#213
53,923,279,0.8,R#923
54,199,127,0.88,R#199
55,601,165,0.5,R#601
56,824,235,0.36,R#824
57,408,70,0.32,R#408
58,390,128,0.01,R#390
59,194,205,0.17,R#194
60,443,159,0.1,R#443
61,697,127,0.64,R#697
62,943,267,0.78,R#943
63,761,133,0.12,R#761
64,520,36,0.81,R#520
65,219,16,0.84,R#219
66,259,203,0.58,R#259
67,917,18,0.01,R#917
68,15,10,0.19,R#15
69,211,126,0.44,R#211
70,35,63,0.46,R#35
71,327,220,0.05,R#327
72,152,232,0.51,R#152
73,471,2,0.28,R#471
74,383,14,0.93,R#383
75,990,165,0.51,R#990
76,51,89,0.7,R#51
77,119,232,0.7,R#119
78,453,194,0.15,R#453
79,115,27,0.61,R#115
80,806,153,0.69,R#806
81,186,209,0.05,R#186
82,452,128,1.0,R#452
83,619,296,0.07,R#619
84,502,57,0.21,R#502
85,945,34,0.7,R#945
86,870,261,0.35,R#870
87,361,39,0.03,R#361
88,456,154,0.93,R#456
89,520,283,0.9,R#520
90,391,148,0.24,R#391
91,937,186,0.79,R#937
92,576,257,0.61,R#576
93,973,242,0.34,R#973
94,340,37,0.96,R#340
95,894,278,0.86,R#894
96,718,98,0.41,R#718
97,502,139,0.58,R#502
98,90,224,0.01,R#90
99,232,54,0.82,R#232
100,843,16,0.63,R#843
101,608,107,0.83,R#608
102,48,158,0.01,R#48
103,923,272,0.46,R#923
104,366,35,0.02,R#366
105,825,252,0.52,R#825
106,561,164,0.02,R#561
107,398,215,0.66,R#398
108,89,45,0.97,R#89
109,559,269,0.94,R#559
110,411,287,0.54,R#411
111,268,259,0.92,R#268
112,111,173,0.56,R#111
113,734,252,0.71,R#734
114,168,90,0.11,R#168
115,800,200,0.35,R#800
116,188,293,0.43,R#188
117,830,87,0.4,R#830
118,311,187,0.62,R#311
119,703,49,0.22,R#703
120,292,185,0.97,R#292
121,937,157,0.97,R#937
122,584,109,0.49,R#584
123,956,213,0.57,R#956
124,839,153,0.5,R#839
125,482,27,0.08,R#482
126,549,263,0.48,R#549
127,637,167,0.35,R#637
128,649,264,0.95,R#649
129,721,280,0.27,R#721
130,456,85,0.62,R#456
131,880,116,0.37,R#880
132,179,83,0.86,R#179
133,9,19,0.43,R#9
134,656,9,0.55,R#656
135,523,65,0.35,R#523
136,959,281,0.51,R#959
137,280,106,0.56,R#280
138,813,75,0.37,R#813
139,12,198,0.64,R#12
140,290,85,0.5,R#290
141,263,273,0.44,R#263
142,31,134,0.88,R#31
143,736,194,0.02,R#736
144,528,62,0.23,R#528
145,356,278,0.92,R#356
146,381,298,0.69,R#381
147,186,152,0.67,R#186
148,49,280,0.64,R#49
149,369,297,0.5,R#369
150,109,97,0.01,R#109
151,254,151,0.69,R#254
152,347,207,0.05,R#347
153,139,228,0.65,R#139
154,279,214,0.76,R#279
155,764,191,0.3,R#764
156,736,114,0.93,R#736
157,789,72,0.18,R#789
158,697,115,0.35,R#697
159,210,215,0.55,R#210
160,664,7,0.3,R#664
161,759,264,1.0,R#759
162,274,163,0.58,R#274
163,446,125,0.31,R#446
164,720,30,0.73,R#720
165,400,183,1.0,R#400
166,755,220,0.01,R#755
167,750,263,0.57,R#750
168,565,64,0.23,R#565
169,21,292,0.49,R#21
170,688,268,0.58,R#688
171,496,119,0.88,R#496
172,765,44,0.29,R#765
173,194,246,0.47,R#194
174,689,157,0.61,R#689
175,31,180,0.49,R#31
176,185,150,0.99,R#185
177,993,146,0.55,R#993
178,857,2,0.22,R#857
179,560,6,0.19,R#560
180,944,113,0.91,R#944
181,335,151,0.66,R#335
182,982,10,0.84,R#982
183,266,48,0.86,R#266
184,139,116,0.55,R#139
185,805,109,0.25,R#805
186,620,24,0.71,R#620
187,679,93,0.92,R#679
188,270,2,0.23,R#270
189,663,34,0.93,R#663
190,121,163,0.31,R#121
191,963,226,0.04,R#963
192,290,28,0.66,R#290
193,274,83,0.85,R#274
194,815,186,0.62,R#815
195,424,205,0.61,R#424
196,555,209,0.08,R#555
197,112,155,0.4,R#112
198,439,281,0.58,R#439
199,953,219,0.63,R#953
200,784,205,0.41,R#784
201,366,160,0.35,R#366
202,652,121,0.09,R#652
203,90,232,0.65,R#90
204,378,114,0.56,R#378
205,600,67,0.68,R#600
206,60,149,0.36,R#60
207,281,39,0.21,R#281
208,196,116,0.31,R#196
209,379,240,0.62,R#379
210,897,70,0.69,R#897
211,821,26,0.58,R#821
212,329,80,0.59,R#329
213,780,191,0.2,R#780
214,776,1,0.07,R#776
215,675,36,0.21,R#675
216,910,298,0.84,R#910
217,227,188,0.25,R#227
218,633,19,0.39,R#633
219,989,213,0.42,R#989
220,311,94,0.74,R#311
221,649,135,0.59,R#649
222,503,135,0.64,R#503
223,281,140,0.02,R#281
224,714,208,0.85,R#714
225,26,295,0.47,R#26
226,649,293,0.55,R#649
227,289,269,1.0,R#289
228,859,101,0.8,R#859
229,703,124,0.56,R#703
230,488,13,0.86,R#488
231,700,222,0.16,R#700
232,312,252,0.38,R#312
233,620,246,0.2,R#620
234,115,129,0.43,R#115
235,852,58,0.83,R#852
236,721,192,0.51,R#721
237,996,288,0.09,R#996
238,204,46,0.16,R#204
239,32,255,0.99,R#32
240,886,62,0.63,R#886
241,394,115,0.6,R#394
242,833,293,0.84,R#833
243,725,66,0.55,R#725
244,125,277,0.94,R#125
245,635,15,1.0,R#635
246,292,84,0.56,R#292
247,815,205,0.2,R#815
248,38,65,0.42,R#38
249,230,155,0.48,R#230
250,471,55,0.5,R#471
251,742,254,0.01,R#742
252,401,67,0.76,R#401
253,245,5,0.04,R#245
254,808,275,0.79,R#808
255,715,295,0.39,R#715
256,504,41,0.1,R#504
257,601,107,1.0,R#601
258,392,125,0.72,R#392
259,185,268,0.87,R#185
260,729,83,0.44,R#729
261,742,33,0.87,R#742
262,504,144,0.09,R#504
263,751,44,0.41,R#751
264,649,205,0.32,R#649
265,857,248,0.85,R#857
266,35,10,0.21,R#35
267,61,203,0.56,R#61
268,527,202,0.12,R#527
269,40,86,0.4,R#40
270,626,293,0.89,R#626
271,585,98,0.75,R#585
272,768,117,0.41,R#768
273,915,271,0.47,R#915
274,668,273,0.51,R#668
275,729,171,0.58,R#729
276,758,189,1.0,R#758
277,301,245,0.48,R#301
278,777,1,0.15,R#777
279,691,204,0.49,R#691
280,844,165,0.6,R#844
281,632,127,0.96,R#632
282,79,224,0.1,R#79
283,863,180,0.69,R#863
284,883,57,0.6,R#883
285,281,75,0.04,R#281
286,914,29,0.64,R#914
287,454,92,0.76,R#454
288,824,286,0.97,R#824
289,623,231,0.02,R#623
290,374,92,0.89,R#374
291,666,238,0.6,R#666
292,898,293,0.68,R#898
293,986,98,0.82,R#986
294,775,45,0.71,R#775
295,459,285,0.91,R#459
296,109,166,0.12,R#109
297,141,288,0.02,R#141
298,320,18,0.01,R#320
299,121,199,1.0,R#121
300,5,158,0.99,R#5
301,386,22,0.65,R#386
302,169,268,0.59,R#169
303,0,151,0.55,R#0
304,236,188,0.67,R#236
305,193,202,0.32,R#193
306,103,258,0.84,R#103
307,422,81,0.38,R#422
308,750,282,0.53,R#750
309,47,98,0.01,R#47
310,12,268,0.82,R#12
311,995,127,0.84,R#995
312,620,151,0.7,R#620
313,488,10,0.17,R#488
314,551,160,0.5,R#551
315,960,103,0.79,R#960
316,113,101,0.92,R#113
317,979,28,0.49,R#979
318,483,91,0.65,R#483
319,11,19,0.35,R#11
320,382,20,0.36,R#382
321,417,64,0.66,R#417
322,5,204,0.26,R#5
323,965,168,0.99,R#965
324,54,142,1.0,R#54
