Timestamp,Reader,Paper,Score,Reader-Label
0,981,188,0.59,R#981
1,642,206,0.57,R#642
2,366,197,0.4,R#366
3,485,27,0.89,R#485
4,104,189,0.24,R#104
5,933,171,0.7,R#933
6,471,222,0.67,R#471
7,974,253,0.6,R#974
8,129,41,0.05,R#129
9,426,247,0.53,R#426
10,290,28,0.66,R#290
11,104,215,0.63,R#104
12,440,193,0.97,R#440
13,287,73,0.27,R#287
14,27,272,0.69,R#27
15,185,269,1.0,R#185
16,156,75,0.02,R#156
17,383,14,0.93,R#383
18,473,294,0.97,R#473
19,780,160,0.73,R#780
20,962,197,0.67,R#962
21,811,111,0.04,R#811
22,640,134,0.65,R#640
23,92,179,0.44,R#92
24,226,198,0.64,R#226
25,999,136,0.59,R#999
26,1001,234,1.0,SR#2
27,453,204,0.45,R#453
28,722,241,0.95,R#722
29,866,136,0.68,R#866
30,458,240,0.47,R#458
31,90,7,0.61,R#90
32,234,79,0.55,R#234
33,663,79,0.38,R#663
34,66,44,0.13,R#66
35,259,203,0.58,R#259
36,360,106,0.5,R#360
37,30,246,0.26,R#30
38,827,162,0.1,R#827
39,452,182,0.61,R#452
40,364,213,0.55,R#364
41,471,136,0.69,R#471
42,109,97,0.01,R#109
43,2,89,0.72,R#2
44,1000,149,0.63,SR#1
45,314,225,1.0,R#314
46,92,280,0.89,R#92
47,94,129,0.19,R#94
48,862,90,0.28,R#862
49,759,149,0.91,R#759
50,987,71,0.47,R#987
51,564,183,1.0,R#564
52,180,207,0.07,R#180
53,630,145,0.89,R#630
54,344,142,0.95,R#344
55,747,213,0.77,R#747
56,400,26,0.69,R#400
57,202,95,0.33,R#202
58,374,92,0.89,R#374
59,398,276,0.77,R#398
60,244,289,0.53,R#244
61,637,167,0.35,R#637
62,911,247,0.56,R#911
63,356,56,0.99,R#356
64,369,188,0.46,R#369
65,10,34,0.75,R#10
66,642,234,0.1,R#642
67,167,55,0.52,R#167
68,865,246,0.52,R#865
69,525,38,0.07,R#525
70,868,20,0.34,R#868
71,859,177,0.73,R#859
72,602,246,0.17,R#602
73,1001,29,1.0,SR#2
74,446,234,1.0,R#446
75,493,235,0.47,R#493
76,878,1,0.16,R#878
77,213,30,0.95,R#213
78,793,191,0.26,R#793
79,268,114,0.92,R#268
80,0,295,0.7,R#0
81,945,230,0.82,R#945
82,32,16,1.0,R#32
83,758,92,0.66,R#758
84,905,173,0.59,R#905
85,236,268,0.53,R#236
86,48,197,0.82,R#48
87,971,63,0.38,R#971
88,990,165,0.51,R#990
89,794,18,1.0,R#794
90,439,187,0.74,R#439
91,614,117,0.61,R#614
92,316,231,0.06,R#316
93,692,134,0.97,R#692
94,168,299,1.0,R#168
95,243,160,0.62,R#243
96,204,76,0.28,R#204
97,35,157,0.01,R#35
98,212,235,0.76,R#212
99,26,125,0.63,R#26
100,718,104,0.67,R#718
101,410,212,0.36,R#410
102,1001,158,1.0,SR#2
103,817,18,0.42,R#817
104,482,12,0.5,R#482
105,322,11,0.92,R#322
106,89,123,0.73,R#89
107,345,256,0.47,R#345
108,19,233,0.71,R#19
109,2,72,0.21,R#2
110,840,86,0.49,R#840
111,395,104,0.62,R#395
112,188,237,0.34,R#188
113,513,253,0.44,R#513
114,101,34,0.85,R#101
115,485,24,0.36,R#485
116,768,233,0.9,R#768
117,77,280,0.66,R#77
118,537,160,0.95,R#537
119,849,176,0.87,R#849
120,245,120,0.71,R#245
121,446,160,0.22,R#446
122,272,167,0.46,R#272
123,329,282,0.54,R#329
124,202,276,0.84,R#202
125,211,139,0.63,R#211
126,566,32,0.6,R#566
127,987,179,0.01,R#987
128,729,171,0.58,R#729
129,355,4,0.32,R#355
130,820,20,0.36,R#820
131,891,199,0.98,R#891
132,608,234,0.79,R#608
133,893,133,0.51,R#893
134,343,193,0.85,R#343
135,644,3,0.07,R#644
136,220,260,0.12,R#220
